Title,Movie Info,Distributor,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Movie Runtime,License,Release Year
,"A widowed former priest living with his children and brother on a Pennsylvania farm finds mysterious crop circles in their fields, which suggests something more frightening to come.",Walt Disney Studios Motion Pictures,"August 2, 2002",227966634,180281283,408247917,drama mystery scifi thriller,1 hr 46 min,PG-13,igns
Ha,Hancock is a superhero whose ill-considered behavior regularly causes damage in the millions. He changes when the person he saves helps him improve his public image.,Sony Pictures Entertainment (SPE),"July 2, 2008",227946274,401497154,629443428,action drama fantasy,1 hr 32 min,PG-13,cock
The Bourne Ulti,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,Universal Pictures,"August 3, 2007",227471070,216628965,444100035,action mystery thriller,1 hr 55 min,PG-13,atum
,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",Twentieth Century Fox,"March 1, 2017",226277068,392902882,619179950,action drama scifi thriller,2 hr 17 min,R,ogan
Rush H,"Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam.",New Line Cinema,"August 3, 2001",226164286,121161516,347325802,action comedy crime thriller,1 hr 30 min,PG-13,ur 2
The Fate of the Fu,"When a mysterious woman seduces Dominic Toretto into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.",Universal Pictures,"April 12, 2017",226008385,1009996733,1236005118,action crime thriller,2 hr 16 min,PG-13,ious
Shang-Chi and the Legend of the Ten ,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",Walt Disney Studios Motion Pictures,,224543292,207689718,432233010,action adventure fantasy scifi,2 hr 12 min,,ings
W,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Walt Disney Studios Motion Pictures,"June 26, 2008",223808164,297503726,521311890,adventure animation family scifi,1 hr 38 min,,LL-E
Big H,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",Walt Disney Studios Motion Pictures,"October 25, 2014",222527828,435341858,657869686,action adventure animation comedy family scifi,1 hr 42 min,PG,ro 6
Mission: Impossible - Fa,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Paramount Pictures,"July 25, 2018",220159104,571498294,791657398,action adventure thriller,2 hr 27 min,PG-13,lout
National Treasure: Book of Se,Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.,Walt Disney Studios Motion Pictures,,219964115,239278134,459242249,action adventure mystery thriller,2 hr 4 min,,rets
Alvin and the Chipmunks: The Squea,"The world-famous singing preteen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes.",Twentieth Century Fox,"December 21, 2009",219614612,223525393,443140005,adventure animation comedy drama family fantasy music musical,1 hr 28 min,PG,quel
Mrs. Doub,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.",Twentieth Century Fox,"November 24, 1993",219195243,222090952,441286195,comedy drama family,2 hr 5 min,PG-13,fire
Beauty and the ,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,Walt Disney Studios Motion Pictures,"November 15, 1991",218967620,186043788,424967620,animation family fantasy musical romance,1 hr 24 min,,east
,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear, Ted or his girlfriend, Lori.",Universal Pictures,"June 29, 2012",218815487,330552828,549368315,comedy,1 hr 46 min,R,Ted
King,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",Universal Pictures,"December 14, 2005",218080025,338826353,556906378,action adventure drama romance,3 hr 7 min,PG-13,Kong
,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic.",Paramount Pictures,"July 13, 1990",217631306,288072251,505703557,drama fantasy romance thriller,2 hr 7 min,,host
How to Train Your D,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",DreamWorks,"March 18, 2010",217581231,277298240,494879471,action adventure animation comedy family fantasy,1 hr 38 min,PG,agon
The Da Vinci,"A murder inside the Louvre, and clues in Da Vinci paintings, lead to the discovery of a religious mystery protected by a secret society for two thousand years, which could shake the foundations of Christianity.",Sony Pictures Entertainment (SPE),"May 17, 2006",217536138,542470807,760006945,mystery thriller,2 hr 29 min,PG-13,Code
Al,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Walt Disney Studios Motion Pictures,"November 13, 1992",217350219,286700000,504050219,adventure animation comedy family fantasy musical romance,1 hr 30 min,,ddin
Alvin and the Chip,Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous.,Twentieth Century Fox,"December 12, 2007",217326974,148025572,365352546,adventure animation comedy drama family fantasy music musical,1 hr 32 min,PG,unks
Saving Private,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",DreamWorks Distribution,"July 24, 1998",217049603,265300000,482349603,drama war,2 hr 49 min,R,Ryan
Bohemian Rha,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid.",Twentieth Century Fox,"October 26, 2018",216668042,694141269,910809311,biography drama music,2 hr 14 min,PG-13,sody
Ant-Man and the,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",Walt Disney Studios Motion Pictures,,216648740,406025399,622674139,action adventure comedy scifi,1 hr 58 min,,Wasp
Madagascar 3: Europe's Most W,"The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal control officer.",DreamWorks,"June 6, 2012",216391482,530529792,746921274,adventure animation comedy family,1 hr 35 min,PG,nted
Kung Fu ,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.",DreamWorks,"June 5, 2008",215434591,416311606,631746197,action adventure animation comedy family fantasy,1 hr 32 min,PG,anda
Mission: Impossib,"IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".",Paramount Pictures,"May 24, 2000",215409889,330978219,546388108,action adventure thriller,2 hr 3 min,PG-13,e II
A Star Is,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,Warner Bros.,"October 3, 2018",215288866,220900000,436188866,drama music romance,2 hr 16 min,R,Born
X2: X-Men U,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.",Twentieth Century Fox,"April 30, 2003",214949694,192761855,407711549,action scifi thriller,2 hr 14 min,PG-13,ited
The ,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.",Universal Pictures,"March 1, 2012",214030500,134809816,348840316,adventure animation comedy drama family fantasy musical,1 hr 26 min,PG,orax
Solo: A Star Wars ,"Board the Millennium Falcon and journey to a galaxy far, far away in an epic action-adventure that will set the course of one of the Star Wars saga's most unlikely heroes.",Walt Disney Studios Motion Pictures,"May 23, 2018",213767512,179157295,392924807,action adventure scifi,2 hr 15 min,PG-13,tory
,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",Sony Pictures Entertainment (SPE),"October 3, 2018",213515506,642569645,856085151,action adventure scifi,1 hr 52 min,PG-13,enom
Austin Powers in Goldm,"Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil.",New Line Cinema,"July 26, 2002",213307889,83630912,296938801,action adventure comedy crime,1 hr 34 min,PG-13,mber
Venom: Let There Be Ca,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",Sony Pictures Entertainment (SPE),,212638437,288500000,501138437,action adventure scifi thriller,1 hr 37 min,,nage
It Chapte,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",Warner Bros.,"September 4, 2019",211593228,261500000,473093228,drama fantasy horror,2 hr 49 min,R, Two
Back to the F,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Universal Pictures,"July 3, 1985",211406762,170500000,381906762,adventure comedy scifi,1 hr 56 min,,ture
,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Warner Bros.,"March 7, 2007",210614939,245453242,456068181,action drama,1 hr 57 min,R,300
,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Walt Disney Studios Motion Pictures,,210460015,597357873,807817888,adventure animation comedy family fantasy music mystery,1 hr 45 min,,Coco
Fast,Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.,Universal Pictures,"April 20, 2011",209837675,416300000,626137675,action crime thriller,2 hr 10 min,PG-13,Five
Mission: Impossible - Ghost Pro,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.",Paramount Pictures,"December 14, 2011",209397903,485315477,694713380,action adventure thriller,2 hr 12 min,PG-13,ocol
Wedding Cra,"John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.",New Line Cinema,"July 14, 2005",209255921,79211724,288467645,comedy romance,1 hr 59 min,R,hers
Sherlock H,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Warner Bros.,"January 1, 2009",209028679,315000000,524028679,action adventure mystery,2 hr 8 min,PG-13,lmes
Dawn of the Planet of the,A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.,Twentieth Century Fox,"July 9, 2014",208545589,502098977,710644566,action adventure drama scifi thriller,2 hr 10 min,PG-13,Apes
Batman B,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",Warner Bros.,"June 15, 2005",206852432,166809514,373661946,action crime drama,2 hr 20 min,PG-13,gins
Charlie and the Chocolate Fa,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",Warner Bros.,"July 14, 2005",206459076,268509687,474968763,adventure comedy family fantasy musical,1 hr 55 min,PG,tory
Ratato,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,Walt Disney Studios Motion Pictures,"June 28, 2007",206445654,417280431,623726085,adventure animation comedy family fantasy,1 hr 51 min,G,ille
Thor: The Dark ,"When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",Walt Disney Studios Motion Pictures,"October 30, 2013",206362140,438421000,644783140,action adventure fantasy,1 hr 52 min,PG-13,orld
Bad Boys for,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,Sony Pictures Entertainment (SPE),"January 15, 2020",206305244,220200000,426505244,action comedy crime thriller,2 hr 4 min,R,Life
Austin Powers: The Spy Who Shagg,"Dr. Evil is back and has invented a new time machine that allows him to go back to the 1960s and steal Austin Powers' mojo, inadvertently leaving him ""shagless"".",New Line Cinema,"June 11, 1999",206040086,105976842,312016928,action adventure comedy crime,1 hr 35 min,PG-13,d Me
Terminator 2: Judgmen,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",TriStar Pictures,"July 3, 1991",205881154,312106698,520881154,action scifi,2 hr 17 min,R, Day
The Amazing Spider-,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",Sony Pictures Entertainment (SPE),,202853933,506128390,708982323,action adventure scifi,2 hr 22 min,,an 2
World ,Former United Nations employee Gerry Lane traverses the world in a race against time to stop a zombie pandemic that is toppling armies and governments and threatens to destroy humanity itself.,Paramount Pictures,"June 19, 2013",202807711,337648165,540455876,action adventure horror scifi,1 hr 56 min,PG-13,ar Z
The Mummy Re,"The mummified body of Imhotep is shipped to a museum in London, where he once again wakes and begins his campaign of rage and terror.",Universal Pictures,"May 4, 2001",202019785,241261119,443280904,action adventure fantasy thriller,2 hr 10 min,PG-13,urns
Armag,"After discovering that an asteroid the size of Texas is going to impact Earth in less than a month, NASA recruits a misfit team of deep-core drillers to save the planet.",Walt Disney Studios Motion Pictures,"July 1, 1998",201578182,352131606,553709788,action adventure scifi thriller,2 hr 31 min,PG-13,ddon
Cinde,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",Walt Disney Studios Motion Pictures,"March 11, 2015",201151353,341206978,542358331,adventure drama family fantasy romance,1 hr 45 min,PG,ella
Ralph Breaks the Int,"Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",Walt Disney Studios Motion Pictures,"November 21, 2018",201091711,328232251,529323962,adventure animation comedy family fantasy scifi,1 hr 52 min,PG,rnet
Ta,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",Walt Disney Studios Motion Pictures,"November 24, 2010",200821936,391640880,592462816,adventure animation comedy family fantasy musical romance,1 hr 40 min,PG,gled
God,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.",Warner Bros.,"May 14, 2014",200676069,324300000,524976069,action adventure scifi thriller,2 hr 3 min,PG-13,illa
Superman Re,"Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world.",Warner Bros.,"June 28, 2006",200081192,191000000,391081192,action adventure scifi,2 hr 34 min,PG-13,urns
Sp,"A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.",Sony Pictures Entertainment (SPE),"October 26, 2015",200074609,680606910,880681519,action adventure thriller,2 hr 28 min,PG-13,ctre
Pearl H,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.,Walt Disney Studios Motion Pictures,"May 25, 2001",198542554,250678391,449220945,action drama history romance war,3 hr 3 min,PG-13,rbor
Monsters vs. A,A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.,DreamWorks,"March 19, 2009",198351526,183158344,381509870,action adventure animation comedy family fantasy scifi,1 hr 34 min,PG,iens
Happy,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!",Warner Bros.,"November 17, 2006",198000317,186335791,384336108,adventure animation comedy family music musical romance,1 hr 48 min,PG,Feet
Indiana Jones and the Last Cr,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",Paramount Pictures,"May 24, 1989",197171806,277000000,474171806,action adventure,2 hr 7 min,PG-13,sade
Ice Age: Dawn of the Dino,"When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him.",Twentieth Century Fox,"June 29, 2009",196573705,690113112,886686817,adventure animation comedy family,1 hr 34 min,PG,aurs
Ice Age: The Mel,"Manny, Sid, and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the woolly mammoths.",Twentieth Century Fox,"March 29, 2006",195330621,471763885,667094506,adventure animation comedy family,1 hr 31 min,PG,down
Mission: Impossible - Rogue N,Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,Paramount Pictures,"July 24, 2015",195042377,487674259,682716636,action adventure thriller,2 hr 11 min,PG-13,tion
Twi,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",Summit Entertainment,"November 20, 2008",193962473,214467942,408430415,drama fantasy romance,2 hr 2 min,PG-13,ight
Men in Bla,Agent Jay is sent to find Agent Kay and restore his memory after the re-appearance of a case from Kay's past.,Sony Pictures Entertainment (SPE),"July 3, 2002",193735288,251400000,445135288,action adventure comedy mystery scifi,1 hr 28 min,PG-13,k II
Madag,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.",DreamWorks Distribution,,193595521,348468325,542063846,adventure animation comedy family,1 hr 26 min,,scar
22 Jump S,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",Sony Pictures Entertainment (SPE),"June 5, 2014",191719337,139614539,331333876,action comedy crime,1 hr 52 min,R,reet
C,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,Walt Disney Studios Motion Pictures,"June 22, 2011",191452396,368400000,559852396,adventure animation comedy family sport,1 hr 46 min,G,rs 2
Teenage Mutant Ninja Tu,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",Paramount Pictures,"August 7, 2014",191204754,293800000,485004754,action adventure animation comedy scifi,1 hr 41 min,PG-13,tles
Spider-Man: Into the Spider-,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Sony Pictures Entertainment (SPE),"December 12, 2018",190241310,185299521,375540831,action adventure animation comedy family fantasy scifi,1 hr 57 min,PG,erse
G,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?",Paramount Pictures,"June 16, 1978",190071103,206200000,396271103,comedy musical romance,1 hr 50 min,PG,ease
Du,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Warner Bros.,"July 19, 2017",189740665,337275642,527016307,action drama history thriller war,1 hr 46 min,PG-13,kirk
Wreck-It ,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",Walt Disney Studios Motion Pictures,"November 1, 2012",189422889,281800000,471222889,adventure animation comedy family fantasy scifi,1 hr 41 min,PG,alph
A Quiet ,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",Paramount Pictures,"April 4, 2018",188024361,152928610,340952971,drama horror scifi,1 hr 30 min,PG-13,lace
Interst,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,Paramount Pictures,"November 5, 2014",188020017,513709189,701729206,adventure drama scifi,2 hr 49 min,PG-13,llar
The Polar Ex,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",Warner Bros.,"November 10, 2004",187935490,126279964,314215454,adventure animation comedy family fantasy musical,1 hr 40 min,,ress
Glad,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,DreamWorks Distribution,"May 4, 2000",187705427,277675375,465380802,action adventure drama,2 hr 35 min,R,ator
The C,"After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.",Twentieth Century Fox,"March 15, 2013",187168425,400067558,587235983,adventure animation comedy family fantasy,1 hr 38 min,PG,oods
Sherlock Holmes: A Game of Sh,"Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.",Warner Bros.,,186848418,357000000,543848418,action adventure mystery,2 hr 9 min,,dows
The Day After Tom,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.",Twentieth Century Fox,"May 26, 2004",186740799,365898772,552639571,action adventure scifi thriller,2 hr 4 min,PG-13,rrow
Mr. & Mrs. ,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,Twentieth Century Fox,"June 8, 2005",186336279,300951367,487287646,action comedy crime thriller,2 hr,PG-13,mith
Snow White and the Seven D,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",Walt Disney Studios Motion Pictures,,184925486,184925486,184925486,adventure animation family fantasy musical romance,1 hr 23 min,,arfs
Pitch Perf,"After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.",Universal Pictures,"May 7, 2015",184296230,102847849,287144079,comedy music,1 hr 55 min,PG-13,ct 2
Dances with W,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military.",Orion Pictures,"November 9, 1990",184208848,240000000,424208848,adventure drama western,3 hr 1 min,,lves
Batman Fo,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",Warner Bros.,"June 16, 1995",184069126,152498032,336567158,action adventure,2 hr 1 min,PG-13,ever
The Fug,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",Warner Bros.,,183875760,185000000,368875760,action crime drama mystery thriller,2 hr 10 min,,tive
Black ,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,Walt Disney Studios Motion Pictures,,183651655,195979696,379631351,action adventure scifi,2 hr 14 min,,idow
The Rev,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,Twentieth Century Fox,"December 25, 2015",183637894,349312609,532950503,action adventure drama history western,2 hr 36 min,R,nant
Ocean's E,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,Warner Bros.,"December 7, 2001",183417150,267300000,450717150,crime thriller,1 hr 56 min,PG-13,even
The Simpsons ,"After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",Twentieth Century Fox,"July 25, 2007",183135014,353279279,536414293,adventure animation comedy,1 hr 27 min,PG-13,ovie
What Women,"A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking.",Paramount Pictures,"December 15, 2000",182811707,191300000,374111707,comedy fantasy romance,2 hr 7 min,PG-13,Want
The Perfect ,An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.,Warner Bros.,"June 30, 2000",182618434,146100000,328718434,action adventure drama thriller,2 hr 10 min,PG-13,torm
Li,"As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",Walt Disney Studios Motion Pictures,"November 9, 2012",182207973,93085477,275293450,biography drama history war,2 hr 30 min,PG-13,coln
Liar,A fast-track lawyer can't lie for 24 hours due to his son's birthday wish after he disappoints his son for the last time.,Universal Pictures,,181410615,121300000,302710615,comedy fantasy,1 hr 26 min,,Liar
Jurassic Par,"A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants.",Universal Pictures,"July 5, 2001",181171875,187608934,368780809,action adventure scifi thriller,1 hr 32 min,PG-13, III
,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",Paramount Pictures,"April 21, 2011",181030624,268295994,449326618,action adventure fantasy,1 hr 55 min,PG-13,Thor
Mission: Impos,"An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.",Paramount Pictures,"May 22, 1996",180981856,276714535,457696391,action adventure thriller,1 hr 50 min,PG-13,ible
An,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.",Walt Disney Studios Motion Pictures,"July 10, 2015",180202163,339109802,519311965,action adventure comedy scifi,1 hr 57 min,PG-13,-Man
Planet of the,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",Twentieth Century Fox,"July 27, 2001",180011740,182200000,362211740,action adventure scifi thriller,1 hr 59 min,PG-13,Apes
Madagascar: Escape 2 A,"The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.",DreamWorks,"October 30, 2008",180010950,423889404,603900354,adventure animation comedy family,1 hr 29 min,PG,rica
X-Men Origins: Wolv,"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.",Twentieth Century Fox,"April 29, 2009",179883157,193179707,373062864,action scifi,1 hr 47 min,PG-13,rine
Indiana Jones and the Temple of,"In 1935, Indiana Jones arrives in India, still part of the British Empire, and is asked to find a mystical stone. He then stumbles upon a secret cult committing enslavement and human sacrifices in the catacombs of an ancient palace.",Paramount Pictures,"May 23, 1984",179870271,153237000,333107271,action adventure,1 hr 58 min,,Doom
,A smooth-talking man falls for a hardened columnist while helping a shy accountant woo a beautiful heiress.,Sony Pictures Entertainment (SPE),"February 11, 2005",179495555,192098655,371594210,comedy romance,1 hr 58 min,PG-13,itch
Men in Bl,Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.,Sony Pictures Entertainment (SPE),"May 23, 2012",179020854,445005922,624026776,action adventure comedy scifi,1 hr 46 min,PG-13,ck 3
Pretty ,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.",Walt Disney Studios Motion Pictures,"March 23, 1990",178406268,285000000,463406268,comedy romance,1 hr 59 min,R,oman
,"An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference.",Twentieth Century Fox,"March 19, 2015",177397510,208644097,386041607,adventure animation comedy family fantasy scifi,1 hr 34 min,PG,Home
Night at the Museum: Battle of the Smiths,"Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake.",Twentieth Century Fox,"May 20, 2009",177243721,235862449,413106170,adventure comedy family fantasy,1 hr 45 min,PG,nian
To,"Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.",Columbia Pictures,"December 17, 1982",177200000,177200000,177200000,comedy drama romance,1 hr 56 min,,tsie
How to Train Your Dra,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",Twentieth Century Fox,"June 5, 2014",177002924,444534595,621537519,action adventure animation comedy family fantasy,1 hr 42 min,PG,on 2
Rise of the Planet of the,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,Twentieth Century Fox,"August 3, 2011",176760185,305040688,481800873,action drama scifi thriller,1 hr 45 min,PG-13,Apes
Captain America: The First Av,"Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.",Paramount Pictures,"July 22, 2011",176654505,193915269,370569774,action adventure scifi,2 hr 4 min,PG-13,nger
