Title,Movie Info,Distributor,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Movie Runtime,License,Release Year
E.T. the Extra-Terres,A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,Universal Pictures,"June 11, 1982",435110554,304203888,792910554,adventure family scifi,1 hr 55 min,PG,rial
Toy St,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",Walt Disney Studios Motion Pictures,"June 20, 2019",434038008,639356585,1073394593,adventure animation comedy family fantasy,1 hr 40 min,G,ry 4
Captain M,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,Walt Disney Studios Motion Pictures,"March 6, 2019",426829839,701633133,1128462972,action adventure scifi,2 hr 3 min,PG-13,rvel
The Hunger Games: Catching,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,Lionsgate,"November 15, 2013",424668047,440343699,865011746,action adventure drama scifi thriller,2 hr 26 min,PG-13,Fire
Pirates of the Caribbean: Dead Man's ,"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",Walt Disney Studios Motion Pictures,"July 6, 2006",423315812,642863935,1066179747,action adventure fantasy,2 hr 31 min,PG-13,hest
The Lion,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Walt Disney Studios Motion Pictures,"June 15, 1994",422783777,640828028,1063611805,adventure animation drama family musical,1 hr 28 min,G,King
Jurassic World: Fallen Ki,"When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",Universal Pictures,"June 6, 2018",417719760,892746536,1310466296,action adventure scifi,2 hr 8 min,PG-13,gdom
Toy St,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Walt Disney Studios Motion Pictures,"June 16, 2010",415004880,651965931,1066970811,adventure animation comedy family fantasy,1 hr 43 min,,ry 3
Wonder ,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",Warner Bros.,"May 30, 2017",412815408,410009114,822824522,action adventure fantasy scifi war,2 hr 21 min,PG-13,oman
Iron ,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Walt Disney Studios Motion Pictures,"April 24, 2013",409013994,805797258,1214811252,action adventure scifi,2 hr 10 min,PG-13,an 3
Captain America: Civi,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,Walt Disney Studios Motion Pictures,"April 27, 2016",408084349,745253147,1153337496,action adventure scifi,2 hr 27 min,PG-13, War
The Hunger ,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,Lionsgate,"March 8, 2012",408010692,286384032,694394724,action adventure scifi thriller,2 hr 22 min,PG-13,ames
Spide,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",Sony Pictures Entertainment (SPE),"May 3, 2002",407022860,418002176,825025036,action adventure scifi,2 hr 1 min,PG-13,-Man
Jumanji: Welcome to the J,"Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.",Sony Pictures Entertainment (SPE),"December 20, 2017",404540171,558002774,962542945,action adventure comedy fantasy,1 hr 59 min,PG-13,ngle
Jurassic,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Universal Pictures,"June 11, 1993",404214720,629713583,1033928303,action adventure scifi thriller,2 hr 7 min,PG-13,Park
Transformers: Revenge of the F,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",DreamWorks,"June 19, 2009",402111870,434191823,836303693,action adventure scifi,2 hr 29 min,PG-13,llen
F,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",Walt Disney Studios Motion Pictures,"November 22, 2013",400953009,880555091,1281508100,adventure animation comedy family fantasy musical,1 hr 42 min,PG,ozen
Spider-Man: Far from,"Following the events of Avengers: Endgame, Spider-Man must step up to take on new threats in a world that has changed forever.",Sony Pictures Entertainment (SPE),"June 28, 2019",390532085,741395911,1131927996,action adventure scifi,2 hr 9 min,PG-13,Home
Guardians of the Galaxy V,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.",Walt Disney Studios Motion Pictures,"April 25, 2017",389813101,473942950,863756051,action adventure comedy scifi,2 hr 16 min,PG-13,l. 2
Harry Potter and the Deathly Hallows: P,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",Warner Bros.,,381409310,960912354,1342321665,adventure fantasy mystery,2 hr 10 min,,rt 2
Finding,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Walt Disney Studios Motion Pictures,"May 30, 2003",380843261,559509384,940352645,adventure animation comedy family,1 hr 40 min,,Nemo
Star Wars: Episode III - Revenge of the,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",Twentieth Century Fox,"May 18, 2005",380270577,488119983,868390560,action adventure fantasy scifi,2 hr 20 min,PG-13,Sith
The Lord of the Rings: The Return of the,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,New Line Cinema,"December 17, 2003",377845905,768185007,1146030912,action adventure drama fantasy,3 hr 21 min,PG-13,King
Spider-,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,Sony Pictures Entertainment (SPE),"June 30, 2004",373585825,415390628,788976453,action adventure scifi,2 hr 7 min,PG-13,an 2
The Passion of the C,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",Newmarket Films,"February 25, 2004",370782930,241271576,612054506,drama,2 hr 7 min,R,rist
The Secret Life of,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",Universal Pictures,"June 24, 2016",368384330,507074301,875458631,adventure animation comedy family,1 hr 27 min,PG,Pets
Despicable,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.",Universal Pictures,"June 20, 2013",368065385,602700620,970766005,adventure animation comedy crime family scifi,1 hr 38 min,PG,Me 2
The Jungle,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo.",Walt Disney Studios Motion Pictures,"April 7, 2016",364001123,602553806,966554929,adventure drama family fantasy,1 hr 46 min,PG,Book
Dea,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",Twentieth Century Fox,"February 9, 2016",363070709,419766082,782836791,action adventure comedy scifi,1 hr 48 min,R,pool
Insid,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Walt Disney Studios Motion Pictures,"June 10, 2015",356921711,501926308,858848019,adventure animation comedy drama family fantasy scifi,1 hr 35 min,PG, Out
Al,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Walt Disney Studios Motion Pictures,"May 22, 2019",355559216,695134737,1050693953,adventure comedy family fantasy musical romance,2 hr 8 min,PG,ddin
Furi,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Universal Pictures,"April 1, 2015",353007020,1162334379,1515341399,action thriller,2 hr 17 min,PG-13,us 7
Transformers: Dark of the,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.",DreamWorks,"June 29, 2011",352390543,771403536,1123794079,action adventure scifi,2 hr 34 min,PG-13,Moon
American S,"Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.",Warner Bros.,"December 25, 2014",350126372,197300000,547426372,action biography drama war,2 hr 13 min,R,iper
The Lord of the Rings: The Two T,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",New Line Cinema,"December 18, 2002",342551365,604943730,947495095,action adventure drama fantasy,2 hr 59 min,PG,wers
