,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Family,Action,Fantasy,Western,Crime,Comedy,Biography,Sport,Adventure,War,Romance,Animation,Mystery,Sci-Fi,Drama,Musical,Horror,Thriller,Music,History
1,Avengers: Endgame (2019),Walt Disney Studios Motion Pictures,858373000.0,1939128328.0,2797501328.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",181.0,84.00000000000001,78.4,65.0,75.8,87.0,29.677029456140765,30.85276113553464,31.3814916700489,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False
6,Titanic (1997),Paramount Pictures,659363944.0,1542283320.0,2201647264.0,"['Drama', 'Romance']",194.0,79.0,75.6,57.400000000000006,70.7,74.0,29.29649975736802,30.5224206690532,31.03593620061715,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
11,The Lion King (2019),Walt Disney Studios Motion Pictures,543638043.0,1119261396.0,1662899439.0,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",118.0,68.0,56.8,43.2,56.0,57.2,29.01807117643862,30.059899861411534,30.631053780733744,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False
12,The Dark Knight (2008),Warner Bros.,534858444.0,471115201.0,1005973645.0,"['Action', 'Crime', 'Drama', 'Thriller']",152.0,90.0,89.0,76.6,85.2,60.3,28.994581876478833,28.81150464184451,29.90594536317954,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
21,The Dark Knight Rises (2012),Warner Bros.,448139099.0,633003513.0,1081142612.0,"['Action', 'Crime', 'Drama']",164.0,84.00000000000001,74.0,63.0,73.7,55.8,28.73937136256456,29.237638265345904,30.009909693483216,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
26,The Hunger Games: Catching Fire (2013),Lionsgate,424668047.0,440343699.0,865011746.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",146.0,75.0,72.6,58.8,68.8,49.6,28.661760320176786,28.714054781212177,29.688144482346406,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False
28,The Lion King (1994),Walt Disney Studios Motion Pictures,422783777.0,640828028.0,1063611805.0,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",88.0,85.0,83.80000000000001,73.2,80.7,59.0,28.65534477798911,29.255362007613808,29.986324548818402,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False
45,The Lord of the Rings: The Return of the King (2003),New Line Cinema,377845905.0,768185007.0,1146030912.0,"['Action', 'Adventure', 'Drama', 'Fantasy']",201.0,90.0,88.6,78.2,85.6,62.9,28.493222746406683,29.51687856553774,30.093998812555462,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
47,The Passion of the Christ (2004),Newmarket Films,370782930.0,241271576.0,612054506.0,['Drama'],127.0,72.0,64.4,50.0,62.1,41.8,28.465999586203605,27.846082721982622,29.18908489573314,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
50,The Jungle Book (2016),Walt Disney Studios Motion Pictures,364001123.0,602553806.0,966554929.0,"['Adventure', 'Drama', 'Family', 'Fantasy']",106.0,74.0,64.4,59.00000000000001,65.8,49.9,28.43936766046801,29.16651483394094,29.84827648175176,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
