,Title,Imdb,Letterboxd,Imdb Sample Size,RYM,RYM Sample Size,Letterboxd Sample Size,Release Year,Weighted Rating
337,The Heat ,6.6,6.08,,5.3,,,2013,5.993333333333332
338,Fantastic Beasts: The Crimes of Grindelwald ,6.5,5.34,,4.44,,,2018,5.426666666666667
339,Halloween ,6.5,6.58,,5.72,,,2018,6.266666666666666
340,1917 ,8.2,8.18,,7.08,,,2019,7.82
341,The Secret Life of Pets 2 ,6.4,5.4,,4.86,,,2019,5.553333333333335
342,Star Trek Beyond ,7.0,6.54,,5.76,,,2016,6.433333333333334
343,The Firm ,6.8,6.64,,5.84,,,1993,6.426666666666667
344,The Longest Yard ,6.4,5.84,,4.36,,,2005,5.533333333333334
345,X-Men ,7.3,6.64,,5.74,,,2000,6.56
346,Scary Movie ,6.2,6.0,,4.86,,,2000,5.686666666666667
347,Who Framed Roger Rabbit ,7.7,7.8,,7.26,,,1988,7.586666666666667
348,What Lies Beneath ,6.6,6.18,,5.16,,,2000,5.9799999999999995
349,X-Men: Apocalypse ,6.9,5.28,,4.98,,,2016,5.72
350,The Mummy ,7.1,6.94,,5.46,,,1999,6.5
351,Snow White and the Huntsman ,6.1,5.1,,4.62,,,2012,5.2733333333333325
352,San Andreas ,6.1,5.02,,4.18,,,2015,5.1
353,Fast & Furious ,6.5,5.72,,4.42,,,2009,5.546666666666667
354,Over the Hedge ,6.7,6.24,,5.26,,,2006,6.066666666666667
355,Fantastic Four ,5.7,4.82,,3.56,,,2005,4.693333333333333
356,Horton Hears a Who! ,6.8,5.88,,5.12,,,2008,5.933333333333334
357,Mad Max: Fury Road ,8.1,8.26,,7.54,,,2015,7.966666666666666
358,Jerry Maguire ,7.3,7.06,,5.7,,,1996,6.6866666666666665
359,Trolls ,6.4,5.38,,4.32,,,2016,5.366666666666667
360,Scooby-Doo ,5.2,6.5,,3.92,,,2002,5.206666666666667
361,Cars 3 ,6.7,5.9,,5.24,,,2017,5.946666666666668
362,Sex and the City ,5.7,5.88,,3.52,,,2008,5.033333333333334
363,Runaway Bride ,5.6,5.58,,3.54,,,1999,4.906666666666667
364,La La Land ,8.0,7.98,,7.08,,,2016,7.686666666666667
365,Divergent ,6.6,5.7,,4.38,,,2014,5.56
366,We're the Millers ,7.0,6.46,,5.28,,,2013,6.246666666666667
367,Terminator 3: Rise of the Machines ,6.3,5.26,,4.8,,,2003,5.453333333333333
368,Daddy's Home ,6.1,5.3,,4.6,,,2015,5.333333333333333
369,G.I. Joe: The Rise of Cobra ,5.7,4.5,,3.74,,,2009,4.646666666666667
370,Neighbors ,6.3,5.82,,5.1,,,2014,5.739999999999999
371,American Hustle ,7.2,6.56,,6.2,,,2013,6.653333333333333
372,Puss in Boots ,6.6,6.14,,5.36,,,2011,6.033333333333334
373,Sonic the Hedgehog ,6.5,5.86,,5.06,,,2020,5.806666666666666
374,Les Misérables ,7.5,7.08,,5.58,,,2012,6.72
375,Knocked Up ,6.9,6.2,,5.9,,,2007,6.333333333333333
376,As Good as It Gets ,7.7,7.1,,6.48,,,1997,7.093333333333334
377,Little Fockers ,5.5,4.7,,3.72,,,2010,4.640000000000001
378,Megamind ,7.3,7.3,,6.36,,,2010,6.986666666666667
379,Hotel Transylvania ,7.0,6.42,,5.34,,,2012,6.253333333333333
380,Talladega Nights: The Ballad of Ricky Bobby ,6.6,6.58,,5.64,,,2006,6.273333333333333
381,Gran Torino ,8.1,7.44,,7.12,,,2008,7.553333333333334
382,Lethal Weapon 2 ,7.2,7.06,,6.36,,,1989,6.873333333333334
383,War for the Planet of the Apes ,7.4,7.36,,6.48,,,2017,7.080000000000001
384,X-Men: First Class ,7.7,7.1,,6.38,,,2011,7.06
385,Paul Blart: Mall Cop ,5.2,4.6,,3.6,,,2009,4.466666666666667
386,True Lies ,7.3,7.06,,6.1,,,1994,6.819999999999999
387,Lilo & Stitch ,7.3,7.88,,6.42,,,2002,7.199999999999999
388,The Santa Clause ,6.5,6.26,,4.84,,,1994,5.866666666666667
389,The Meg ,5.6,4.82,,4.18,,,2018,4.866666666666666
390,American Pie 2 ,6.4,5.72,,4.56,,,2001,5.56
391,Taken ,7.8,6.82,,5.92,,,2008,6.846666666666667
392,The Great Gatsby ,7.2,6.76,,5.22,,,2013,6.3933333333333335
393,"I, Robot ",7.1,6.14,,5.1,,,2004,6.113333333333333
394,Lethal Weapon 3 ,6.7,6.28,,5.66,,,1992,6.213333333333334
395,The Fast and the Furious ,6.8,6.52,,4.66,,,2001,5.993333333333333
396,Mamma Mia! ,6.5,7.5,,4.26,,,2008,6.086666666666666
397,Doctor Dolittle ,5.4,4.98,,5.16,,,1998,5.180000000000001
398,Pokémon Detective Pikachu ,6.5,6.18,,5.46,,,2019,6.046666666666667
399,Rio ,6.9,6.42,,5.2,,,2011,6.173333333333335
400,Kung Fu Panda 3 ,7.1,6.46,,5.62,,,2016,6.3933333333333335
401,Juno ,7.5,7.48,,6.18,,,2007,7.053333333333334
402,Marley & Me ,7.0,6.54,,5.04,,,2008,6.1933333333333325
403,The Smurfs ,5.4,4.5,,3.1,,,2011,4.333333333333333
404,Once Upon a Time... In Hollywood ,7.6,7.54,,7.26,,,2019,7.466666666666666
405,xXx ,5.8,4.98,,3.7,,,2002,4.826666666666667
406,The Chronicles of Narnia: Prince Caspian ,6.5,6.04,,4.92,,,2008,5.82
407,Pocahontas ,6.7,6.4,,5.06,,,1995,6.053333333333334
408,A Few Good Men ,7.7,7.74,,6.34,,,1992,7.260000000000001
409,Slumdog Millionaire ,8.0,7.58,,6.18,,,2008,7.253333333333333
410,Rush Hour ,7.0,6.9,,5.74,,,1998,6.546666666666667
411,The Blair Witch Project ,6.5,6.66,,6.38,,,1999,6.513333333333333
412,Deep Impact ,6.2,5.68,,4.58,,,1998,5.486666666666667
413,Shazam! ,7.0,6.52,,6.02,,,2019,6.513333333333333
414,Ocean's Eight ,6.3,6.68,,5.06,,,2018,6.013333333333333
415,Rush Hour 3 ,6.2,5.66,,4.34,,,2007,5.3999999999999995
416,Stuart Little ,6.0,5.56,,3.98,,,1999,5.18
417,Taken 2 ,6.2,5.12,,4.52,,,2012,5.28
418,Sister Act ,6.5,6.76,,4.82,,,1992,6.026666666666666
419,The Matrix Revolutions ,6.7,6.06,,4.84,,,2003,5.866666666666666
420,The Santa Clause 2 ,5.7,5.34,,3.68,,,2002,4.906666666666667
421,The King's Speech ,8.0,7.44,,6.68,,,2010,7.373333333333334
422,Cheaper by the Dozen ,5.9,5.86,,3.44,,,2003,5.066666666666666
423,Bad Boys II ,6.6,6.22,,4.6,,,2003,5.806666666666666
424,Platoon ,8.1,7.72,,7.28,,,1986,7.699999999999999
425,21 Jump Street ,7.2,7.12,,6.3,,,2012,6.873333333333334
426,Good Will Hunting ,8.3,8.46,,7.12,,,1997,7.960000000000001
427,Split ,7.3,7.04,,6.08,,,2016,6.806666666666666
428,A Christmas Carol ,6.8,6.16,,5.44,,,2009,6.133333333333333
429,Dinosaur ,6.4,5.64,,4.38,,,2000,5.473333333333334
430,Ready Player One ,7.4,6.46,,5.18,,,2018,6.346666666666667
431,The Conjuring ,7.5,7.22,,6.04,,,2013,6.919999999999999
432,Click ,6.4,5.56,,4.64,,,2006,5.533333333333332
433,The Green Mile ,8.6,8.28,,7.1,,,1999,7.993333333333332
434,Ransom ,6.7,6.3,,5.44,,,1996,6.146666666666667
435,Godzilla ,5.4,4.3,,3.46,,,1998,4.386666666666667
436,Argo ,7.7,7.28,,6.3,,,2012,7.093333333333334
437,Anger Management ,6.2,5.48,,4.58,,,2003,5.420000000000001
438,Chicken Little ,5.7,5.42,,3.66,,,2005,4.926666666666667
439,Teenage Mutant Ninja Turtles ,6.7,6.66,,5.86,,,1990,6.406666666666666
440,Patch Adams ,6.8,6.54,,4.66,,,1998,6.0
441,The Godfather ,9.2,9.08,,8.7,,,1972,8.993333333333332
442,Ride Along ,6.1,5.28,,4.32,,,2014,5.233333333333333
443,The Incredible Hulk ,6.6,5.0,,4.7,,,2008,5.433333333333334
444,Live Free or Die Hard ,7.1,5.76,,5.36,,,2007,6.073333333333333
445,Wanted ,6.7,5.9,,4.74,,,2008,5.780000000000001
446,Identity Thief ,5.7,4.88,,4.14,,,2013,4.906666666666666
447,Superman ,7.4,7.26,,6.26,,,1978,6.973333333333334
448,The Rock ,7.4,6.98,,5.92,,,1996,6.766666666666667
449,Mission: Impossible III ,6.9,6.6,,5.42,,,2006,6.3066666666666675
