,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Family,Action,Fantasy,Western,Crime,Comedy,Biography,Sport,Adventure,War,Romance,Animation,Mystery,Sci-Fi,Drama,Musical,Horror,Thriller,Music,History
218,Pearl Harbor (2001),Walt Disney Studios Motion Pictures,198542554.0,250678391.0,449220945.0,"['Action', 'Drama', 'History', 'Romance', 'War']",183.0,62.0,53.400000000000006,32.2,49.2,32.5,27.564873015157914,27.901262397309907,28.74284995429774,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True
233,Dunkirk (2017),Warner Bros.,189740665.0,337275642.0,527016307.0,"['Action', 'Drama', 'History', 'Thriller', 'War']",106.0,78.0,75.6,68.8,74.1,46.3,27.499453667719905,28.32935288998171,28.973272361690146,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
249,The Revenant (2015),Twentieth Century Fox,183637894.0,349312609.0,532950503.0,"['Action', 'Adventure', 'Drama', 'History', 'Western']",156.0,80.0,76.4,71.2,75.9,47.3,27.45228855121075,28.379943479167636,28.98942631010897,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
254,Lincoln (2012),Walt Disney Studios Motion Pictures,182207973.0,93085477.0,275293450.0,"['Biography', 'Drama', 'History', 'War']",150.0,73.0,70.0,62.4,68.5,39.1,27.441010848622472,26.47205276331185,28.036395043696615,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True
284,Apollo 13 (1995),Universal Pictures,173837933.0,181077570.0,355237933.0,"['Adventure', 'Drama', 'History']",140.0,77.0,74.6,62.0,71.2,41.8,27.373167684632836,27.432032610445663,28.404210402805557,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
301,Hidden Figures (2016),Twentieth Century Fox,169607287.0,66349611.0,235956898.0,"['Biography', 'Drama', 'History']",127.0,78.0,76.8,62.0,72.3,40.3,27.337622914217707,25.98358467147971,27.813948107157362,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
331,Straight Outta Compton (2015),Universal Pictures,161197785.0,40437206.0,201634991.0,"['Biography', 'Drama', 'History', 'Music']",147.0,78.0,74.0,66.60000000000001,72.9,40.0,27.26425667919635,25.26917998219436,27.587170779691434,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True
421,The King's Speech (2010),The Weinstein Company,138797449.0,288576868.0,427374317.0,"['Biography', 'Drama', 'History']",118.0,80.0,74.4,66.8,73.7,44.4,27.0484058115333,28.10438041873675,28.67092497114423,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
