,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Mystery,Comedy,Animation,Musical,History,Music,Action,War,Western,Romance,Drama,Family,Fantasy,Crime,Sci-Fi,Thriller,Biography,Adventure,Horror,Sport
10,Incredibles 2 (2018),Walt Disney Studios Motion Pictures,608581744.0,634507500.0,1243089244.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",118.0,76.0,69.80000000000001,63.2,69.7,56.7,29.180875816192128,29.241061976197365,30.21128272821611,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
16,Finding Dory (2016),Walt Disney Studios Motion Pictures,486295561.0,542275381.0,1028570942.0,"['Adventure', 'Animation', 'Comedy', 'Family']",97.0,73.0,65.8,60.8,66.5,51.3,28.857258181536057,29.01445043338814,29.937994156008543,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
17,Frozen II (2019),Walt Disney Studios Motion Pictures,477373578.0,972653355.0,1450026933.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",103.0,68.0,64.60000000000001,52.800000000000004,61.8,56.4,28.830543476454352,29.85735049203129,30.433432551291762,False,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
22,Shrek 2 (2004),DreamWorks Distribution,441226247.0,487534523.0,928760770.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",93.0,73.0,79.0,62.4,71.5,52.1,28.71694337344262,28.860929140827675,29.790731794478802,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False
24,Toy Story 4 (2019),Walt Disney Studios Motion Pictures,434038008.0,639356585.0,1073394593.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",100.0,77.0,70.39999999999999,66.8,71.4,54.5,28.693246141750645,29.252045541484883,29.999533379954674,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
30,Toy Story 3 (2010),Walt Disney Studios Motion Pictures,415004880.0,651965931.0,1066970811.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",103.0,83.0,79.4,75.4,79.3,58.4,28.62855306016185,29.280221336344297,29.990873563043113,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
36,Jumanji: Welcome to the Jungle (2017),Sony Pictures Entertainment (SPE),404540171.0,558002774.0,962542945.0,"['Action', 'Adventure', 'Comedy', 'Fantasy']",119.0,69.0,62.8,54.400000000000006,62.1,48.0,28.59170772905932,29.05569705324314,29.84227566878744,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
39,Frozen (2013),Walt Disney Studios Motion Pictures,400953009.0,880555091.0,1281508100.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",102.0,74.0,67.6,55.400000000000006,65.7,55.4,28.578857924319838,29.71383802667176,30.255195451455315,False,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
41,Guardians of the Galaxy Vol. 2 (2017),Walt Disney Studios Motion Pictures,389813101.0,473942950.0,863756051.0,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",136.0,76.0,70.8,64.2,70.3,50.3,28.53820733720141,28.82013816694483,29.68604867136346,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
43,Finding Nemo (2003),Walt Disney Studios Motion Pictures,380843261.0,559509384.0,940352645.0,"['Adventure', 'Animation', 'Comedy', 'Family']",100.0,82.0,80.80000000000001,71.0,77.9,55.5,28.504622126624042,29.059587087149062,29.80862664757531,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
