,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Mystery,Thriller,Music,Drama,Comedy,Western,Crime,History,Horror,Biography,Musical,Sci-Fi,Romance,Adventure,Action,Family,Fantasy,Animation,Sport,War
245,Dances with Wolves (1990),Orion Pictures,184208848.0,240000000.0,424208848.0,"['Adventure', 'Drama', 'Western']",181.0,80.0,74.4,68.39999999999999,74.3,44.6,27.456767118351983,27.838459164932694,28.6601994715105,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
249,The Revenant (2015),Twentieth Century Fox,183637894.0,349312609.0,532950503.0,"['Action', 'Adventure', 'Drama', 'History', 'Western']",156.0,80.0,76.4,71.2,75.9,47.3,27.45228855121075,28.379943479167636,28.98942631010897,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False
294,True Grit (2010),Paramount Pictures,171243005.0,81033922.0,252276927.0,"['Drama', 'Western']",110.0,76.0,74.6,68.0,72.9,40.9,27.351469816614856,26.272022632164738,27.910433023974967,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
325,Django Unchained (2012),The Weinstein Company,162805434.0,263268939.0,426074373.0,"['Drama', 'Western']",165.0,84.00000000000001,84.00000000000001,74.6,80.9,47.9,27.278573612720372,27.97196207845462,28.666530039768606,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
