,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Family,Action,Fantasy,Western,Crime,Comedy,Biography,Sport,Adventure,War,Romance,Animation,Mystery,Sci-Fi,Drama,Musical,Horror,Thriller,Music,History
11,The Lion King (2019),Walt Disney Studios Motion Pictures,543638043.0,1119261396.0,1662899439.0,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",118.0,68.0,56.8,43.2,56.0,57.2,29.01807117643862,30.059899861411534,30.631053780733744,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False
15,Beauty and the Beast (2017),Walt Disney Studios Motion Pictures,504481165.0,769095055.0,1273576220.0,"['Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",129.0,71.0,62.4,48.8,60.7,52.7,28.910225165856996,29.518586675754474,30.246238157473897,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
17,Frozen II (2019),Walt Disney Studios Motion Pictures,477373578.0,972653355.0,1450026933.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",103.0,68.0,64.60000000000001,52.800000000000004,61.8,56.4,28.830543476454352,29.85735049203129,30.433432551291762,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
28,The Lion King (1994),Walt Disney Studios Motion Pictures,422783777.0,640828028.0,1063611805.0,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",88.0,85.0,83.80000000000001,73.2,80.7,59.0,28.65534477798911,29.255362007613808,29.986324548818402,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False
39,Frozen (2013),Walt Disney Studios Motion Pictures,400953009.0,880555091.0,1281508100.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",102.0,74.0,67.6,55.400000000000006,65.7,55.4,28.578857924319838,29.71383802667176,30.255195451455315,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
53,Aladdin (2019),Walt Disney Studios Motion Pictures,355559216.0,695134737.0,1050693953.0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",128.0,69.0,61.0,49.2,59.7,48.3,28.40551461012558,29.372717399614004,29.968695355077113,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False
109,The Grinch (2018),Universal Pictures,271094731.0,241474088.0,512568819.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",85.0,64.0,57.199999999999996,49.6,56.9,37.5,28.014221832311254,27.84729314435219,28.933170477208854,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
110,Sing (2016),Universal Pictures,270448425.0,363759959.0,634208384.0,"['Animation', 'Comedy', 'Family', 'Musical']",108.0,71.0,60.6,46.8,59.5,40.9,28.010778254847637,28.4384115056854,29.24038170856095,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False
132,Moana (2016),Walt Disney Studios Motion Pictures,248757044.0,395379444.0,644136488.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",107.0,76.0,75.2,63.800000000000004,71.7,47.2,27.890162137820447,28.55866262558796,29.2627911767824,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
169,Alvin and the Chipmunks: The Squeakquel (2009),Twentieth Century Fox,219614612.0,223525393.0,443140005.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Music', 'Musical']",88.0,45.0,42.6,24.6,37.4,26.5,27.71039880596762,27.735863493300428,28.72318733284193,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False
