,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Mystery,Comedy,Animation,Musical,History,Music,Action,War,Western,Romance,Drama,Family,Fantasy,Crime,Sci-Fi,Thriller,Biography,Adventure,Horror,Sport
124,The Blind Side (2009),Warner Bros.,255959475.0,53248834.0,309208309.0,"['Biography', 'Drama', 'Sport']",129.0,76.0,65.8,49.00000000000001,63.6,37.2,27.93134017149384,25.666246598924,28.20400384677056,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
136,Cars (2006),Walt Disney Studios Motion Pictures,244082982.0,217908885.0,461991867.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",117.0,72.0,70.6,54.800000000000004,65.8,41.0,27.86279646986693,27.69914978108786,28.783292213463078,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
229,Cars 2 (2011),Walt Disney Studios Motion Pictures,191452396.0,368400000.0,559852396.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",106.0,62.0,51.4,40.800000000000004,51.4,35.5,27.51241047452692,28.45669782052815,29.060471272647792,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
274,The Karate Kid (2010),Sony Pictures Entertainment (SPE),176591618.0,182534404.0,359126022.0,"['Action', 'Drama', 'Family', 'Sport']",140.0,62.0,57.800000000000004,44.800000000000004,54.9,33.8,27.39584162554609,27.443593167214026,28.419914952480738,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True
329,The Waterboy (1998),Walt Disney Studios Motion Pictures,161491646.0,24500000.0,185991646.0,"['Comedy', 'Sport']",90.0,61.0,57.400000000000006,47.199999999999996,55.2,30.9,27.266884295002,24.54627841343938,27.470662581802973,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
344,The Longest Yard (2005),Paramount Pictures,158119460.0,33347096.0,191466556.0,"['Comedy', 'Crime', 'Sport']",113.0,64.0,58.4,43.60000000000001,55.3,31.0,27.23643969237278,24.991057795372026,27.51251717366877,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
358,Jerry Maguire (1996),Sony Pictures Entertainment (SPE),153952592.0,119600000.0,273552592.0,"['Comedy', 'Drama', 'Romance', 'Sport']",139.0,73.0,70.6,57.00000000000001,66.9,38.3,27.19791091640736,26.833642148634915,28.027242984890055,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
361,Cars 3 (2017),Walt Disney Studios Motion Pictures,152901115.0,231029541.0,383930656.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",102.0,67.0,59.00000000000001,52.400000000000006,59.5,36.5,27.188023686393464,27.783502095282795,28.516270519839644,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
380,Talladega Nights: The Ballad of Ricky Bobby (2006),Sony Pictures Entertainment (SPE),148213377.0,15148718.0,163362095.0,"['Comedy', 'Sport']",108.0,65.99999999999999,65.8,56.39999999999999,62.7,34.2,27.143100423076135,23.85269237122322,27.283498032060027,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
