,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Mystery,Thriller,Music,Drama,Comedy,Western,Crime,History,Horror,Biography,Musical,Sci-Fi,Romance,Adventure,Action,Family,Fantasy,Animation,Sport,War
56,American Sniper (2014),Warner Bros.,350126372.0,197300000.0,547426372.0,"['Action', 'Biography', 'Drama', 'War']",133.0,73.0,64.4,51.0,62.8,41.0,28.383300490733113,27.55581571516037,29.028089696609882,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
124,The Blind Side (2009),Warner Bros.,255959475.0,53248834.0,309208309.0,"['Biography', 'Drama', 'Sport']",129.0,76.0,65.8,49.00000000000001,63.6,37.2,27.93134017149384,25.666246598924,28.20400384677056,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
180,Bohemian Rhapsody (2018),Twentieth Century Fox,216668042.0,694141269.0,910809311.0,"['Biography', 'Drama', 'Music']",134.0,79.0,69.19999999999999,54.400000000000006,67.5,49.7,27.690911134273982,29.370654063610214,29.762573798997746,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
254,Lincoln (2012),Walt Disney Studios Motion Pictures,182207973.0,93085477.0,275293450.0,"['Biography', 'Drama', 'History', 'War']",150.0,73.0,70.0,62.4,68.5,39.1,27.441010848622472,26.47205276331185,28.036395043696615,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
282,The Greatest Showman (2017),Twentieth Century Fox,174340174.0,262609460.0,436949634.0,"['Biography', 'Drama', 'Musical']",105.0,75.0,67.6,46.0,62.9,39.1,27.377329813658314,27.968343646575946,28.70289175286118,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False
297,A Beautiful Mind (2001),Universal Pictures,170742341.0,146048916.0,316791257.0,"['Biography', 'Drama']",135.0,82.0,75.4,64.2,73.9,42.5,27.3472456240029,27.12187640937672,28.23895727868057,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
301,Hidden Figures (2016),Twentieth Century Fox,169607287.0,66349611.0,235956898.0,"['Biography', 'Drama', 'History']",127.0,78.0,76.8,62.0,72.3,40.3,27.337622914217707,25.98358467147971,27.813948107157362,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
318,Catch Me If You Can (2002),DreamWorks Distribution,164615351.0,187498961.0,352114312.0,"['Biography', 'Crime', 'Drama']",141.0,81.0,80.19999999999999,69.0,76.7,44.5,27.294523637865144,27.482307360231147,28.39146862711731,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
320,The Pursuit of Happyness (2006),Sony Pictures Entertainment (SPE),163566459.0,143561166.0,307127625.0,"['Biography', 'Drama']",117.0,80.0,76.6,59.00000000000001,71.9,41.3,27.285301698115692,27.097090304944146,28.19426304236049,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
331,Straight Outta Compton (2015),Universal Pictures,161197785.0,40437206.0,201634991.0,"['Biography', 'Drama', 'History', 'Music']",147.0,78.0,74.0,66.60000000000001,72.9,40.0,27.26425667919635,25.26917998219436,27.587170779691434,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
421,The King's Speech (2010),The Weinstein Company,138797449.0,288576868.0,427374317.0,"['Biography', 'Drama', 'History']",118.0,80.0,74.4,66.8,73.7,44.4,27.0484058115333,28.10438041873675,28.67092497114423,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
436,Argo (2012),Warner Bros.,136025503.0,96300000.0,232325503.0,"['Biography', 'Drama', 'Thriller']",120.0,77.0,72.8,63.0,70.9,39.5,27.019301922356163,26.52103246228027,27.791572290482456,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
440,Patch Adams (1998),Universal Pictures,135026902.0,67266000.0,202292902.0,"['Biography', 'Comedy', 'Drama', 'Romance']",115.0,68.0,65.4,46.6,60.0,33.6,27.008671629452433,26.003374134485146,27.591870458980008,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
