,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Mystery,Thriller,Music,Drama,Comedy,Western,Crime,History,Horror,Biography,Musical,Sci-Fi,Romance,Adventure,Action,Family,Fantasy,Animation,Sport,War
5,Spider-Man: No Way Home (2021),Sony Pictures Entertainment (SPE),675813257.0,868642706.0,1544455963.0,"'Fantasy',",148.0,82.0,80.39999999999999,65.99999999999999,76.1,65.2,29.332049410311722,29.69418764237637,30.52445159004262,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
5,Spider-Man: No Way Home (2021),Sony Pictures Entertainment (SPE),675813257.0,868642706.0,1544455963.0,'Sci-Fi'],148.0,82.0,80.39999999999999,65.99999999999999,76.1,65.2,29.332049410311722,29.69418764237637,30.52445159004262,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
6,Titanic (1997),Paramount Pictures,659363944.0,1542283320.0,2201647264.0,"['Drama',",194.0,79.0,75.6,57.400000000000006,70.7,74.0,29.29649975736802,30.5224206690532,31.03593620061715,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
6,Titanic (1997),Paramount Pictures,659363944.0,1542283320.0,2201647264.0,'Romance'],194.0,79.0,75.6,57.400000000000006,70.7,74.0,29.29649975736802,30.5224206690532,31.03593620061715,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
7,Jurassic World (2015),Universal Pictures,652385625.0,1018130819.0,1670516444.0,"['Action',",124.0,69.0,60.4,49.00000000000001,59.5,59.1,29.281149752415256,29.923275798304594,30.637647038132048,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
7,Jurassic World (2015),Universal Pictures,652385625.0,1018130819.0,1670516444.0,"'Adventure',",124.0,69.0,60.4,49.00000000000001,59.5,59.1,29.281149752415256,29.923275798304594,30.637647038132048,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
7,Jurassic World (2015),Universal Pictures,652385625.0,1018130819.0,1670516444.0,'Sci-Fi'],124.0,69.0,60.4,49.00000000000001,59.5,59.1,29.281149752415256,29.923275798304594,30.637647038132048,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
8,The Avengers (2012),Walt Disney Studios Motion Pictures,623357910.0,895457605.0,1518815515.0,"['Action',",143.0,80.0,73.6,60.8,71.5,62.4,29.21548550455901,29.73804988923967,30.50029949554552,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
8,The Avengers (2012),Walt Disney Studios Motion Pictures,623357910.0,895457605.0,1518815515.0,"'Adventure',",143.0,80.0,73.6,60.8,71.5,62.4,29.21548550455901,29.73804988923967,30.50029949554552,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
8,The Avengers (2012),Walt Disney Studios Motion Pictures,623357910.0,895457605.0,1518815515.0,'Sci-Fi'],143.0,80.0,73.6,60.8,71.5,62.4,29.21548550455901,29.73804988923967,30.50029949554552,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
9,Star Wars: Episode VIII - The Last Jedi (2017),Walt Disney Studios Motion Pictures,620181382.0,712517448.0,1332698830.0,"['Action',",152.0,69.0,61.8,55.800000000000004,62.2,54.5,29.208114975634018,29.408350102154678,30.311703643748018,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
9,Star Wars: Episode VIII - The Last Jedi (2017),Walt Disney Studios Motion Pictures,620181382.0,712517448.0,1332698830.0,"'Adventure',",152.0,69.0,61.8,55.800000000000004,62.2,54.5,29.208114975634018,29.408350102154678,30.311703643748018,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
9,Star Wars: Episode VIII - The Last Jedi (2017),Walt Disney Studios Motion Pictures,620181382.0,712517448.0,1332698830.0,"'Fantasy',",152.0,69.0,61.8,55.800000000000004,62.2,54.5,29.208114975634018,29.408350102154678,30.311703643748018,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
9,Star Wars: Episode VIII - The Last Jedi (2017),Walt Disney Studios Motion Pictures,620181382.0,712517448.0,1332698830.0,'Sci-Fi'],152.0,69.0,61.8,55.800000000000004,62.2,54.5,29.208114975634018,29.408350102154678,30.311703643748018,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
10,Incredibles 2 (2018),Walt Disney Studios Motion Pictures,608581744.0,634507500.0,1243089244.0,"['Action',",118.0,76.0,69.80000000000001,63.2,69.7,56.7,29.180875816192128,29.241061976197365,30.21128272821611,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False
10,Incredibles 2 (2018),Walt Disney Studios Motion Pictures,608581744.0,634507500.0,1243089244.0,"'Adventure',",118.0,76.0,69.80000000000001,63.2,69.7,56.7,29.180875816192128,29.241061976197365,30.21128272821611,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False
10,Incredibles 2 (2018),Walt Disney Studios Motion Pictures,608581744.0,634507500.0,1243089244.0,"'Animation',",118.0,76.0,69.80000000000001,63.2,69.7,56.7,29.180875816192128,29.241061976197365,30.21128272821611,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False
10,Incredibles 2 (2018),Walt Disney Studios Motion Pictures,608581744.0,634507500.0,1243089244.0,"'Comedy',",118.0,76.0,69.80000000000001,63.2,69.7,56.7,29.180875816192128,29.241061976197365,30.21128272821611,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False
10,Incredibles 2 (2018),Walt Disney Studios Motion Pictures,608581744.0,634507500.0,1243089244.0,"'Family',",118.0,76.0,69.80000000000001,63.2,69.7,56.7,29.180875816192128,29.241061976197365,30.21128272821611,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False
10,Incredibles 2 (2018),Walt Disney Studios Motion Pictures,608581744.0,634507500.0,1243089244.0,'Sci-Fi'],118.0,76.0,69.80000000000001,63.2,69.7,56.7,29.180875816192128,29.241061976197365,30.21128272821611,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False
11,The Lion King (2019),Walt Disney Studios Motion Pictures,543638043.0,1119261396.0,1662899439.0,"['Adventure',",118.0,68.0,56.8,43.2,56.0,57.2,29.01807117643862,30.059899861411534,30.631053780733744,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False
11,The Lion King (2019),Walt Disney Studios Motion Pictures,543638043.0,1119261396.0,1662899439.0,"'Animation',",118.0,68.0,56.8,43.2,56.0,57.2,29.01807117643862,30.059899861411534,30.631053780733744,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False
11,The Lion King (2019),Walt Disney Studios Motion Pictures,543638043.0,1119261396.0,1662899439.0,"'Drama',",118.0,68.0,56.8,43.2,56.0,57.2,29.01807117643862,30.059899861411534,30.631053780733744,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False
11,The Lion King (2019),Walt Disney Studios Motion Pictures,543638043.0,1119261396.0,1662899439.0,"'Family',",118.0,68.0,56.8,43.2,56.0,57.2,29.01807117643862,30.059899861411534,30.631053780733744,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False
11,The Lion King (2019),Walt Disney Studios Motion Pictures,543638043.0,1119261396.0,1662899439.0,'Musical'],118.0,68.0,56.8,43.2,56.0,57.2,29.01807117643862,30.059899861411534,30.631053780733744,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False
12,The Dark Knight (2008),Warner Bros.,534858444.0,471115201.0,1005973645.0,"['Action',",152.0,90.0,89.0,76.6,85.2,60.3,28.994581876478833,28.81150464184451,29.90594536317954,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
12,The Dark Knight (2008),Warner Bros.,534858444.0,471115201.0,1005973645.0,"'Crime',",152.0,90.0,89.0,76.6,85.2,60.3,28.994581876478833,28.81150464184451,29.90594536317954,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
12,The Dark Knight (2008),Warner Bros.,534858444.0,471115201.0,1005973645.0,"'Drama',",152.0,90.0,89.0,76.6,85.2,60.3,28.994581876478833,28.81150464184451,29.90594536317954,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
12,The Dark Knight (2008),Warner Bros.,534858444.0,471115201.0,1005973645.0,'Thriller'],152.0,90.0,89.0,76.6,85.2,60.3,28.994581876478833,28.81150464184451,29.90594536317954,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
13,Rogue One: A Star Wars Story (2016),Walt Disney Studios Motion Pictures,532177324.0,523880396.0,1056057720.0,"['Action',",133.0,78.0,73.4,62.6,71.3,54.2,28.987331797738403,28.96466223537815,29.97604154292699,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
13,Rogue One: A Star Wars Story (2016),Walt Disney Studios Motion Pictures,532177324.0,523880396.0,1056057720.0,"'Adventure',",133.0,78.0,73.4,62.6,71.3,54.2,28.987331797738403,28.96466223537815,29.97604154292699,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
13,Rogue One: A Star Wars Story (2016),Walt Disney Studios Motion Pictures,532177324.0,523880396.0,1056057720.0,'Sci-Fi'],133.0,78.0,73.4,62.6,71.3,54.2,28.987331797738403,28.96466223537815,29.97604154292699,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
14,Star Wars: Episode IX - The Rise of Skywalker (2019),Walt Disney Studios Motion Pictures,515202542.0,558946737.0,1074149279.0,"['Action',",141.0,65.0,50.4,43.4,52.9,45.3,28.94056447080016,29.058135571814837,30.000547358582672,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
14,Star Wars: Episode IX - The Rise of Skywalker (2019),Walt Disney Studios Motion Pictures,515202542.0,558946737.0,1074149279.0,"'Adventure',",141.0,65.0,50.4,43.4,52.9,45.3,28.94056447080016,29.058135571814837,30.000547358582672,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
14,Star Wars: Episode IX - The Rise of Skywalker (2019),Walt Disney Studios Motion Pictures,515202542.0,558946737.0,1074149279.0,"'Fantasy',",141.0,65.0,50.4,43.4,52.9,45.3,28.94056447080016,29.058135571814837,30.000547358582672,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
14,Star Wars: Episode IX - The Rise of Skywalker (2019),Walt Disney Studios Motion Pictures,515202542.0,558946737.0,1074149279.0,'Sci-Fi'],141.0,65.0,50.4,43.4,52.9,45.3,28.94056447080016,29.058135571814837,30.000547358582672,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False
15,Beauty and the Beast (2017),Walt Disney Studios Motion Pictures,504481165.0,769095055.0,1273576220.0,"['Adventure',",129.0,71.0,62.4,48.8,60.7,52.7,28.910225165856996,29.518586675754474,30.246238157473897,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False
15,Beauty and the Beast (2017),Walt Disney Studios Motion Pictures,504481165.0,769095055.0,1273576220.0,"'Family',",129.0,71.0,62.4,48.8,60.7,52.7,28.910225165856996,29.518586675754474,30.246238157473897,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False
