,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Mystery,Thriller,Music,Drama,Comedy,Western,Crime,History,Horror,Biography,Musical,Sci-Fi,Romance,Adventure,Action,Family,Fantasy,Animation,Sport,War
12,The Dark Knight (2008),Warner Bros.,534858444.0,471115201.0,1005973645.0,"['Action', 'Crime', 'Drama', 'Thriller']",152.0,90.0,89.0,76.6,85.2,60.3,28.994581876478833,28.81150464184451,29.90594536317954,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
26,The Hunger Games: Catching Fire (2013),Lionsgate,424668047.0,440343699.0,865011746.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",146.0,75.0,72.6,58.8,68.8,49.6,28.661760320176786,28.714054781212177,29.688144482346406,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
34,The Hunger Games (2012),Lionsgate,408010692.0,286384032.0,694394724.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",142.0,72.0,71.0,53.800000000000004,65.6,45.0,28.604031717896806,28.093375813165313,29.3711807453491,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
37,Jurassic Park (1993),Universal Pictures,404214720.0,629713583.0,1033928303.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",127.0,82.0,82.0,70.6,78.2,57.3,28.59054661937251,29.230120545896515,29.945489000477945,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
54,Furious 7 (2015),Universal Pictures,353007020.0,1162334379.0,1515341399.0,"['Action', 'Thriller']",137.0,71.0,64.4,53.6,63.0,58.1,28.395121632732707,30.11437801526682,30.496995716435165,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
59,The Hunger Games: Mockingjay - Part 1 (2014),Lionsgate,337135885.0,418220826.0,755356711.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",123.0,65.99999999999999,63.2,49.800000000000004,59.7,43.1,28.328754956151567,28.63968966420866,29.492582865335077,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False
62,Joker (2019),Warner Bros.,335451311.0,738968073.0,1074419384.0,"['Crime', 'Drama', 'Thriller']",122.0,84.00000000000001,78.0,69.80000000000001,77.3,57.5,28.32152814109417,29.460936793403228,30.000910092297246,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
86,Skyfall (2012),Sony Pictures Entertainment (SPE),304360277.0,804209222.0,1108569499.0,"['Action', 'Adventure', 'Thriller']",143.0,78.0,76.6,66.39999999999999,73.7,56.3,28.181204839639832,29.582995638954387,30.046052073194296,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
89,The Twilight Saga: Eclipse (2010),Summit Entertainment,300531751.0,397959596.0,698491347.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']",124.0,50.0,52.800000000000004,34.199999999999996,45.7,35.1,28.16294217795688,28.56804672351256,29.379667002553948,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False
92,The Sixth Sense (1999),Walt Disney Studios Motion Pictures,293506292.0,379300140.0,672806432.0,"['Drama', 'Mystery', 'Thriller']",107.0,82.0,79.4,68.60000000000001,76.7,50.2,28.12881619033848,28.498764663231096,29.325616256859238,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
