,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Mystery,Comedy,Animation,Musical,History,Music,Action,War,Western,Romance,Drama,Family,Fantasy,Crime,Sci-Fi,Thriller,Biography,Adventure,Horror,Sport
10,Incredibles 2 (2018),Walt Disney Studios Motion Pictures,608581744.0,634507500.0,1243089244.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",118.0,76.0,69.80000000000001,63.2,69.7,56.7,29.180875816192128,29.241061976197365,30.21128272821611,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
11,The Lion King (2019),Walt Disney Studios Motion Pictures,543638043.0,1119261396.0,1662899439.0,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",118.0,68.0,56.8,43.2,56.0,57.2,29.01807117643862,30.059899861411534,30.631053780733744,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
15,Beauty and the Beast (2017),Walt Disney Studios Motion Pictures,504481165.0,769095055.0,1273576220.0,"['Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",129.0,71.0,62.4,48.8,60.7,52.7,28.910225165856996,29.518586675754474,30.246238157473897,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False
16,Finding Dory (2016),Walt Disney Studios Motion Pictures,486295561.0,542275381.0,1028570942.0,"['Adventure', 'Animation', 'Comedy', 'Family']",97.0,73.0,65.8,60.8,66.5,51.3,28.857258181536057,29.01445043338814,29.937994156008543,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
17,Frozen II (2019),Walt Disney Studios Motion Pictures,477373578.0,972653355.0,1450026933.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",103.0,68.0,64.60000000000001,52.800000000000004,61.8,56.4,28.830543476454352,29.85735049203129,30.433432551291762,False,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False
22,Shrek 2 (2004),DreamWorks Distribution,441226247.0,487534523.0,928760770.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",93.0,73.0,79.0,62.4,71.5,52.1,28.71694337344262,28.860929140827675,29.790731794478802,False,True,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False
23,E.T. the Extra-Terrestrial (1982),Universal Pictures,435110554.0,304203888.0,792910554.0,"['Adventure', 'Family', 'Sci-Fi']",115.0,79.0,76.8,64.8,73.5,50.7,28.696806770274737,28.180463351222695,29.562582887854308,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
24,Toy Story 4 (2019),Walt Disney Studios Motion Pictures,434038008.0,639356585.0,1073394593.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",100.0,77.0,70.39999999999999,66.8,71.4,54.5,28.693246141750645,29.252045541484883,29.999533379954674,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
28,The Lion King (1994),Walt Disney Studios Motion Pictures,422783777.0,640828028.0,1063611805.0,"['Adventure', 'Animation', 'Drama', 'Family', 'Musical']",88.0,85.0,83.80000000000001,73.2,80.7,59.0,28.65534477798911,29.255362007613808,29.986324548818402,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False
30,Toy Story 3 (2010),Walt Disney Studios Motion Pictures,415004880.0,651965931.0,1066970811.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",103.0,83.0,79.4,75.4,79.3,58.4,28.62855306016185,29.280221336344297,29.990873563043113,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
