Title,Imdb,Letterboxd,Rateyourmusic,,,,,,,
Jumanji: Welcome to the Jungle (2017),6.9 (389569),3.14 (373962),2.72 (1521),,,,,,,
Jurassic Park (1993),8.2 (1000525),4.1 (716364),3.53 (7676),,,,,,,
Transformers: Revenge of the Fallen (2009),5.9 (411707),2.29 (152064),1.55 (2634),,,,,,,
Frozen (2013),7.4 (633038),3.38 (529550),2.77 (3457),,,,,,,
Spider-Man: Far from Home (2019),7.4 (504297),3.48 (876127),3.05 (3337),,,,,,,
Guardians of the Galaxy Vol. 2 (2017),7.6 (692791),3.54 (801404),3.21 (4159),,,,,,,
Harry Potter and the Deathly Hallows: Part 2 (2011),8.1 (887796),3.94 (622770),3.03 (4518),,,,,,,
Finding Nemo (2003),8.2 (1054185),4.04 (741803),3.55 (6903),,,,,,,
Star Wars: Episode III - Revenge of the Sith (2005),7.6 (801296),3.65 (603325),2.98 (7707),,,,,,,
The Lord of the Rings: The Return of the King (2003),9 (1863879),4.43 (681824),3.91 (8890),,,,,,,
Spider-Man 2 (2004),7.4 (663070),3.87 (670797),3.31 (6295),,,,,,,
The Passion of the Christ (2004),7.2 (234484),3.22 (64840),2.50 (2088),,,,,,,
The Secret Life of Pets (2016),6.5 (206059),2.8 (156504),2.51 (1032),,,,,,,
Despicable Me 2 (2013),7.3,3.04,2.63,,,,,,,
The Jungle Book (2016),7.4,3.22,2.95,,,,,,,
Deadpool (2016),8,3.7,3.05,,,,,,,
Inside Out (2015),8.2,3.86,3.64,,,,,,,
Aladdin (2019),6.9,3.05,2.46,,,,,,,
Furious 7 (2015),7.1,3.22,2.68,,,,,,,
Transformers: Dark of the Moon (2011),6.2,2.46,1.81,,,,,,,
American Sniper (2014),7.3,3.22,2.55,,,,,,,
The Lord of the Rings: The Two Towers (2002),8.8,4.33,3.82,,,,,,,
Zootopia (2016),8,3.72,3.44,,,,,,,
The Hunger Games: Mockingjay - Part 1 (2014),6.6,3.16,2.49,,,,,,,
Spider-Man 3 (2007),6.3,2.99,2.42,,,,,,,
Minions (2015),6.4,2.69,2.09,,,,,,,
Joker (2019),8.4,3.9,3.49,,,,,,,
Aquaman (2018),6.8,2.92,2.54,,,,,,,
Spider-Man: Homecoming (2017),7.4,3.57,3.16,,,,,,,
Alice in Wonderland (2010),6.4,3.04,2.21,,,,,,,
Guardians of the Galaxy (2014),8,3.8,3.34,,,,,,,
Forrest Gump (1994),8.8,4.13,3.57,,,,,,,
Batman v Superman: Dawn of Justice (2016),6.4,2.47,2.09,,,,,,,
It (2017),7.3,3.52,3.04,,,,,,,
Suicide Squad (2016),5.9,2.12,1.63,,,,,,,
Deadpool 2 (2018),7.7,3.51,3.11,,,,,,,
Shrek the Third (2007),6.1,2.76,2.16,,,,,,,
Jumanji: The Next Level (2019),6.7,2.98,2.65,,,,,,,
Transformers (2007),7,2.99,2.14,,,,,,,
Iron Man (2008),7.9,3.71,3.16,,,,,,,
Harry Potter and the Sorcerer's Stone (2001),7.6,3.79,2.97,,,,,,,
Indiana Jones and the Kingdom of the Crystal Skull (2008),6.2,2.58,2.24,,,,,,,
The Lord of the Rings: The Fellowship of the Ring (2001),8.8,4.33,3.91,,,,,,,
Thor: Ragnarok (2017),7.9,3.85,3.33,,,,,,,
Iron Man 2 (2010),6.9,2.92,2.52,,,,,,,
Star Wars: Episode II - Attack of the Clones (2002),6.6,2.73,2.25,,,,,,,
Pirates of the Caribbean: At World's End (2007),7.1,3.32,2.56,,,,,,,
Star Wars: Episode VI - Return of the Jedi (1983),8.3,4.01,3.65,,,,,,,
Independence Day (1996),7,3.28,2.55,,,,,,,
Pirates of the Caribbean: The Curse of the Black Pearl (2003),8.1,3.87,3.26,,,,,,,
Skyfall (2012),7.8,3.83,3.32,,,,,,,
The Hobbit: An Unexpected Journey (2012),7.8,3.41,3.01,,,,,,,
Harry Potter and the Half-Blood Prince (2009),7.6,3.67,2.88,,,,,,,
The Twilight Saga: Eclipse (2010),5,2.64,1.71,,,,,,,
The Twilight Saga: New Moon (2009),4.7,2.63,1.59,,,,,,,
Harry Potter and the Deathly Hallows: Part 1 (2010),7.7,3.71,3.03,,,,,,,
The Sixth Sense (1999),8.2,3.97,3.43,,,,,,,
Up (2009),8.3,4.09,3.72,,,,,,,
Star Wars: Episode V - The Empire Strikes Back (1980),8.7,4.39,4.09,,,,,,,
Inception (2010),8.8,4.18,3.59,,,,,,,
Harry Potter and the Order of the Phoenix (2007),7.5,3.67,2.85,,,,,,,
The Twilight Saga: Breaking Dawn - Part 2 (2012),5.5,2.83,1.77,,,,,,,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)",6.9,3.44,2.56,,,,,,,
Man of Steel (2013),7.1,2.97,2.38,,,,,,,
"Monsters, Inc. (2001)",8.1,4.07,3.64,,,,,,,
Harry Potter and the Goblet of Fire (2005),7.7,3.81,2.97,,,,,,,
Home Alone (1990),7.7,3.78,3.15,,,,,,,
The Hunger Games: Mockingjay - Part 2 (2015),6.5,3.22,2.48,,,,,,,
The Matrix Reloaded (2003),7.2,3.31,2.76,,,,,,,
The Twilight Saga: Breaking Dawn - Part 1 (2011),4.9,2.64,1.57,,,,,,,
Meet the Fockers (2004),6.3,2.82,2.26,,,,,,,
The Hangover (2009),7.7,3.52,2.9,,,,,,,
Gravity (2013),7.7,3.48,3.26,,,,,,,
The Grinch (2018),6.4,2.86,2.48,,,,,,,
Sing (2016),7.1,3.03,2.34,,,,,,,
Monsters University (2013),7.2,3.33,3,,,,,,,
Shrek (2001),7.9,4.04,3.36,,,,,,,
Despicable Me 3 (2017),6.2,2.57,2.26,,,,,,,
Harry Potter and the Chamber of Secrets (2002),7.4,3.62,2.88,,,,,,,
The Amazing Spider-Man (2012),6.9,3.26,2.53,,,,,,,
The Incredibles (2004),8,4.07,3.62,,,,,,,
Jaws (1975),8.1,3.98,3.69,,,,,,,
How the Grinch Stole Christmas (2000),6.3,3.36,2.19,,,,,,,
Captain America: The Winter Soldier (2014),7.8,3.76,3.25,,,,,,,
The Hobbit: The Desolation of Smaug (2013),7.8,3.35,2.83,,,,,,,
The Lego Movie (2014),7.7,3.76,3.54,,,,,,,
Star Trek (2009),7.9,3.58,3.16,,,,,,,
I Am Legend (2007),7.2,3.32,2.65,,,,,,,
The Blind Side (2009),7.6,3.29,2.45,,,,,,,
The Hobbit: The Battle of the Five Armies (2014),7.4,3.15,2.5,,,,,,,
The Hangover Part II (2011),6.5,2.82,2.3,,,,,,,
Despicable Me (2010),7.6,3.46,2.96,,,,,,,
Batman (1989),7.5,3.59,3.35,,,,,,,
Night at the Museum (2006),6.4,3.19,2.34,,,,,,,
Men in Black (1997),7.3,3.6,3.03,,,,,,,
Harry Potter and the Prisoner of Azkaban (2004),7.9,4.1,3.35,,,,,,,
Moana (2016),7.6,3.76,3.19,,,,,,,
Indiana Jones and the Raiders of the Lost Ark (1981),8.4,4.16,3.81,,,,,,,
Toy Story 2 (1999),7.9,3.93,3.62,,,,,,,
Transformers: Age of Extinction (2014),5.6,2.04,1.55,,,,,,,
Cars (2006),7.2,3.53,2.74,,,,,,,
Ghostbusters (1984),7.8,3.79,3.44,,,,,,,
Bruce Almighty (2003),6.8,3.14,2.55,,,,,,,
Twister (1996),6.4,3.12,2.36,,,,,,,
My Big Fat Greek Wedding (2002),6.6,3.37,2.36,,,,,,,
Maleficent (2014),6.9,3.2,2.55,,,,,,,
Pirates of the Caribbean: On Stranger Tides (2011),6.6,2.77,2.36,,,,,,,
Shrek Forever After (2010),6.3,2.86,2.51,,,,,,,
Fast & Furious 6 (2013),7,3.09,2.57,,,,,,,
Brave (2012),7.1,3.33,2.86,,,,,,,
Oz the Great and Powerful (2013),6.3,2.54,2.43,,,,,,,
X-Men: The Last Stand (2006),6.6,2.59,2.33,,,,,,,
War of the Worlds (2005),6.5,3.21,2.64,,,,,,,
Fantastic Beasts and Where to Find Them (2016),7.2,3.19,2.75,,,,,,,
X-Men: Days of Future Past (2014),7.9,3.59,3.29,,,,,,,
Cast Away (2000),7.8,3.8,3.18,,,,,,,
The Exorcist (1973),8.1,3.99,3.8,,,,,,,
Doctor Strange (2016),7.5,3.51,3.05,,,,,,,
The Lost World: Jurassic Park (1997),6.5,3.07,2.59,,,,,,,
Justice League (2017),6.1,2.07,1.87,,,,,,,
Star Trek Into Darkness (2013),7.7,3.26,2.9,,,,,,,
The Martian (2015),8,3.73,3.21,,,,,,,
Signs (2002),6.8,3.41,2.71,,,,,,,
Hancock (2008),6.4,2.71,2.26,,,,,,,
The Bourne Ultimatum (2007),8,3.63,3.31,,,,,,,
Logan (2017),8.1,4.07,3.62,,,,,,,
Rush Hour 2 (2001),6.6,3.23,2.63,,,,,,,
The Fate of the Furious (2017),6.6,2.81,2.46,,,,,,,
Shang-Chi and the Legend of the Ten Rings (2021),7.4,3.62,3.09,,,,,,,
WALLÂ·E (2008),8.4,4.15,3.9,,,,,,,
Big Hero 6 (2014),7.8,3.78,3.15,,,,,,,
Mission: Impossible - Fallout (2018),7.7,3.87,3.38,,,,,,,
National Treasure: Book of Secrets (2007),6.5,2.87,2.26,,,,,,,
Alvin and the Chipmunks: The Squeakquel (2009),4.5,2.13,1.23,,,,,,,
Mrs. Doubtfire (1993),7.1,3.56,2.69,,,,,,,
Beauty and the Beast (1991),8,3.88,3.41,,,,,,,
Ted (2012),6.9,2.93,2.57,,,,,,,
King Kong (2005),7.2,3.33,2.75,,,,,,,
Ghost (1990),7.1,3.43,2.65,,,,,,,
How to Train Your Dragon (2010),8.1,3.95,3.43,,,,,,,
The Da Vinci Code (2006),6.6,3.04,2.18,,,,,,,
