,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Mystery,Comedy,Animation,Musical,History,Music,Action,War,Western,Romance,Drama,Family,Fantasy,Crime,Sci-Fi,Thriller,Biography,Adventure,Horror,Sport
69,It (2017),Warner Bros.,328828874.0,372967570.0,701796444.0,['Horror'],135.0,73.0,70.39999999999999,60.8,68.1,46.4,28.29276174469898,28.47447495088184,29.386477396727035,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
152,The Exorcist (1973),Warner Bros.,232906145.0,136017945.0,441306145.0,['Horror'],122.0,81.0,79.80000000000001,76.0,78.9,47.2,27.79517346324224,27.019221759505694,28.71720459546628,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
192,It Chapter Two (2019),Warner Bros.,211593228.0,261500000.0,473093228.0,"['Drama', 'Fantasy', 'Horror']",169.0,65.0,59.599999999999994,49.00000000000001,57.9,37.3,27.656718214116257,27.962235705571114,28.81754926892176,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
209,World War Z (2013),Paramount Pictures,202807711.0,337648165.0,540455876.0,"['Action', 'Adventure', 'Horror', 'Sci-Fi']",116.0,70.0,61.8,50.2,60.7,39.8,27.595537265532716,28.330945476089116,29.009601597087535,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False
235,A Quiet Place (2018),Paramount Pictures,188024361.0,152928610.0,340952971.0,"['Drama', 'Horror', 'Sci-Fi']",90.0,75.0,74.2,61.199999999999996,70.1,41.0,27.486344353007212,27.188283091526543,28.344997515403566,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
279,Us (2019),Universal Pictures,175084580.0,80100902.0,255185482.0,"['Horror', 'Mystery', 'Thriller']",116.0,68.0,74.8,64.0,68.9,38.9,27.383476787832453,26.255315152833038,27.926971012800447,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
300,Hotel Transylvania 2 (2015),Sony Pictures Entertainment (SPE),169700110.0,305486596.0,475186706.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",89.0,70.0,58.60000000000001,48.0,58.9,37.8,27.338412259138007,28.18653383862385,28.823919234429173,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False
308,Hotel Transylvania 3: Summer Vacation (2018),Sony Pictures Entertainment (SPE),167510016.0,361073758.0,528583774.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",97.0,63.0,54.400000000000006,45.4,54.3,36.4,27.319672120946993,28.427718331479085,28.977556898174054,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False
336,A Quiet Place Part II (2020),Paramount Pictures,160072261.0,137300000.0,297372261.0,"['Drama', 'Horror', 'Sci-Fi', 'Thriller']",97.0,72.0,70.6,60.0,67.5,39.0,27.254148083286687,27.032756384583912,28.14769483761172,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False
339,Halloween (2018),Universal Pictures,159342015.0,96272926.0,255614941.0,"['Crime', 'Horror', 'Thriller']",106.0,65.0,65.8,57.199999999999996,62.7,35.8,27.247551483212835,26.520626802703863,27.92939692510457,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
348,What Lies Beneath (2000),DreamWorks Distribution,155464351.0,135956000.0,291420351.0,"['Drama', 'Horror', 'Mystery', 'Thriller']",130.0,65.99999999999999,61.8,51.6,59.8,35.0,27.21200855790009,27.01856458077592,28.11852638894327,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
379,Hotel Transylvania (2012),Sony Pictures Entertainment (SPE),148313048.0,210062555.0,358375603.0,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",91.0,70.0,64.2,53.400000000000006,62.5,37.5,27.14407028512358,27.646243774368408,28.416897186034184,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False
389,The Meg (2018),Warner Bros.,145443742.0,384994536.0,530438278.0,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",113.0,55.99999999999999,48.2,41.8,48.7,33.7,27.115885982111234,28.520262729733343,28.98260964746075,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False
411,The Blair Witch Project (1999),Artisan Entertainment,140539099.0,108100000.0,248639099.0,"['Horror', 'Mystery']",81.0,65.0,66.60000000000001,63.800000000000004,65.1,36.9,27.06639631364565,26.68779128217146,27.889477940034915,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
427,Split (2016),Universal Pictures,138291365.0,140163052.0,278454417.0,"['Horror', 'Thriller']",117.0,73.0,70.39999999999999,60.8,68.1,38.9,27.043135835611874,27.062530853657805,28.052865936752514,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
431,The Conjuring (2013),Warner Bros.,137400141.0,182890848.0,320290989.0,"['Horror', 'Mystery', 'Thriller']",112.0,75.0,72.2,60.4,69.2,40.2,27.033808243749064,27.446407642412066,28.254807969300526,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
