,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Mystery,Thriller,Music,Drama,Comedy,Western,Crime,History,Horror,Biography,Musical,Sci-Fi,Romance,Adventure,Action,Family,Fantasy,Animation,Sport,War
6,Titanic (1997),Paramount Pictures,659363944.0,1542283320.0,2201647264.0,"['Drama', 'Romance']",194.0,79.0,75.6,57.400000000000006,70.7,74.0,29.29649975736802,30.5224206690532,31.03593620061715,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
15,Beauty and the Beast (2017),Walt Disney Studios Motion Pictures,504481165.0,769095055.0,1273576220.0,"['Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",129.0,71.0,62.4,48.8,60.7,52.7,28.910225165856996,29.518586675754474,30.246238157473897,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False
22,Shrek 2 (2004),DreamWorks Distribution,441226247.0,487534523.0,928760770.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",93.0,73.0,79.0,62.4,71.5,52.1,28.71694337344262,28.860929140827675,29.790731794478802,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False
53,Aladdin (2019),Walt Disney Studios Motion Pictures,355559216.0,695134737.0,1050693953.0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",128.0,69.0,61.0,49.2,59.7,48.3,28.40551461012558,29.372717399614004,29.968695355077113,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False
67,Forrest Gump (1994),Paramount Pictures,330455270.0,347770863.0,678226133.0,"['Drama', 'Romance']",142.0,88.00000000000001,82.6,71.39999999999999,80.7,52.3,28.299879762703426,28.373561824675306,29.33719113358778,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
72,Shrek the Third (2007),DreamWorks,322719944.0,490647436.0,813367380.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",93.0,61.0,55.199999999999996,43.2,53.1,40.8,28.265707497818678,28.8701114800993,29.599331891949713,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False
89,The Twilight Saga: Eclipse (2010),Summit Entertainment,300531751.0,397959596.0,698491347.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']",124.0,50.0,52.800000000000004,34.199999999999996,45.7,35.1,28.16294217795688,28.56804672351256,29.379667002553948,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False
90,The Twilight Saga: New Moon (2009),Summit Entertainment,297816253.0,413209228.0,711025481.0,"['Adventure', 'Drama', 'Fantasy', 'Romance']",130.0,47.0,52.6,31.8,43.8,34.4,28.149847248689362,28.622297232665805,29.405326021691298,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
97,The Twilight Saga: Breaking Dawn - Part 2 (2012),Lionsgate,292324737.0,537422917.0,829747654.0,"['Adventure', 'Drama', 'Fantasy', 'Romance']",115.0,55.00000000000001,56.60000000000001,35.4,49.0,39.1,28.1229966766356,29.001482601732665,29.628097404381865,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
105,The Twilight Saga: Breaking Dawn - Part 1 (2011),Summit Entertainment,281287133.0,430918723.0,712205856.0,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']",117.0,49.00000000000001,52.800000000000004,31.4,44.4,34.7,28.06746831963756,28.682840542607366,29.407719057180422,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False
