,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Mystery,Thriller,Music,Drama,Comedy,Western,Crime,History,Horror,Biography,Musical,Sci-Fi,Romance,Adventure,Action,Family,Fantasy,Animation,Sport,War
42,Harry Potter and the Deathly Hallows: Part 2 (2011),Warner Bros.,381409310.0,960912354.0,1342321665.0,"['Adventure', 'Fantasy', 'Mystery']",130.0,81.0,78.8,60.6,73.5,60.3,28.506764818604054,29.8398296061062,30.322083284759252,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
58,Zootopia (2016),Walt Disney Studios Motion Pictures,341268248.0,682852856.0,1024121104.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Mystery']",108.0,80.0,74.4,68.8,74.4,55.2,28.346330949732838,29.346999493120315,29.93173918046635,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False
65,Alice in Wonderland (2010),Walt Disney Studios Motion Pictures,334191110.0,691277106.0,1025468216.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",108.0,64.0,60.8,44.2,56.3,46.2,28.316098115090753,29.36468890576642,29.93363563070915,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
88,Harry Potter and the Half-Blood Prince (2009),Warner Bros.,302305431.0,632148664.0,934454096.0,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']",153.0,76.0,73.4,57.599999999999994,69.0,50.9,28.171431656709526,29.23568863964377,29.799548554048727,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False
91,Harry Potter and the Deathly Hallows: Part 1 (2010),Warner Bros.,296347721.0,680695761.0,977043483.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",146.0,77.0,74.2,60.6,70.6,52.5,28.142715721903425,29.34243488454454,29.863847529391325,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
92,The Sixth Sense (1999),Walt Disney Studios Motion Pictures,293506292.0,379300140.0,672806432.0,"['Drama', 'Mystery', 'Thriller']",107.0,82.0,79.4,68.60000000000001,76.7,50.2,28.12881619033848,28.498764663231096,29.325616256859238,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,Harry Potter and the Order of the Phoenix (2007),Warner Bros.,292353413.0,649818982.0,942172396.0,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']",138.0,75.0,73.4,57.00000000000001,68.5,50.8,28.12313819286304,29.27546264625242,29.81141582328761,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False
101,Harry Potter and the Goblet of Fire (2005),Warner Bros.,290417905.0,606260335.0,896678241.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",157.0,77.0,76.2,59.400000000000006,70.9,51.2,28.113555160980784,29.175362195308555,29.740015148491835,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
114,Harry Potter and the Chamber of Secrets (2002),Warner Bros.,262450136.0,617152229.0,879602366.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",161.0,74.0,72.39999999999999,57.599999999999994,68.0,49.4,27.967468104243224,29.201051152744284,29.712276243932838,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
131,Harry Potter and the Prisoner of Azkaban (2004),Warner Bros.,249975996.0,547385621.0,797361618.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",142.0,79.0,82.0,67.0,76.0,52.0,27.897214325528633,29.027982296862685,29.570658920173074,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
