,Title,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Release Year
33,Captain America: Civil War ,408084349,745253147,1153337496,adventure,2016
33,Captain America: Civil War ,408084349,745253147,1153337496,scifi,2016
34,The Hunger Games ,408010692,286384032,694394724,action,2012
34,The Hunger Games ,408010692,286384032,694394724,adventure,2012
34,The Hunger Games ,408010692,286384032,694394724,scifi,2012
34,The Hunger Games ,408010692,286384032,694394724,thriller,2012
35,Spider-Man ,407022860,418002176,825025036,action,2002
35,Spider-Man ,407022860,418002176,825025036,adventure,2002
35,Spider-Man ,407022860,418002176,825025036,scifi,2002
36,Jumanji: Welcome to the Jungle ,404540171,558002774,962542945,action,2017
36,Jumanji: Welcome to the Jungle ,404540171,558002774,962542945,adventure,2017
36,Jumanji: Welcome to the Jungle ,404540171,558002774,962542945,comedy,2017
36,Jumanji: Welcome to the Jungle ,404540171,558002774,962542945,fantasy,2017
37,Jurassic Park ,404214720,629713583,1033928303,action,1993
37,Jurassic Park ,404214720,629713583,1033928303,adventure,1993
37,Jurassic Park ,404214720,629713583,1033928303,scifi,1993
37,Jurassic Park ,404214720,629713583,1033928303,thriller,1993
38,Transformers: Revenge of the Fallen ,402111870,434191823,836303693,action,2009
38,Transformers: Revenge of the Fallen ,402111870,434191823,836303693,adventure,2009
38,Transformers: Revenge of the Fallen ,402111870,434191823,836303693,scifi,2009
39,Frozen ,400953009,880555091,1281508100,adventure,2013
39,Frozen ,400953009,880555091,1281508100,animation,2013
39,Frozen ,400953009,880555091,1281508100,comedy,2013
39,Frozen ,400953009,880555091,1281508100,family,2013
39,Frozen ,400953009,880555091,1281508100,fantasy,2013
39,Frozen ,400953009,880555091,1281508100,musical,2013
40,Spider-Man: Far from Home ,390532085,741395911,1131927996,action,2019
40,Spider-Man: Far from Home ,390532085,741395911,1131927996,adventure,2019
40,Spider-Man: Far from Home ,390532085,741395911,1131927996,scifi,2019
41,Guardians of the Galaxy Vol. 2 ,389813101,473942950,863756051,action,2017
41,Guardians of the Galaxy Vol. 2 ,389813101,473942950,863756051,adventure,2017
41,Guardians of the Galaxy Vol. 2 ,389813101,473942950,863756051,comedy,2017
41,Guardians of the Galaxy Vol. 2 ,389813101,473942950,863756051,scifi,2017
