,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Mystery,Thriller,Music,Drama,Comedy,Western,Crime,History,Horror,Biography,Musical,Sci-Fi,Romance,Adventure,Action,Family,Fantasy,Animation,Sport,War
100,"Monsters, Inc. (2001)",Walt Disney Studios Motion Pictures,290642256.0,289065482.0,579707738.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",92.0,81.0,81.4,72.8,78.4,49.4,28.114669228380087,28.106821102536454,29.110750502085345,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False
109,The Grinch (2018),Universal Pictures,271094731.0,241474088.0,512568819.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",85.0,64.0,57.199999999999996,49.6,56.9,37.5,28.014221832311254,27.84729314435219,28.933170477208854,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False
110,Sing (2016),Universal Pictures,270448425.0,363759959.0,634208384.0,"['Animation', 'Comedy', 'Family', 'Musical']",108.0,71.0,60.6,46.8,59.5,40.9,28.010778254847637,28.4384115056854,29.24038170856095,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
111,Monsters University (2013),Walt Disney Studios Motion Pictures,268492764.0,475066881.0,743559645.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",104.0,72.0,66.60000000000001,60.0,66.2,46.2,28.00030796655731,28.823555392741955,29.469873232505535,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False
112,Shrek (2001),DreamWorks Distribution,267665011.0,220188309.0,487853320.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",90.0,79.0,80.80000000000001,67.19999999999999,75.7,46.4,27.995853322224402,27.714162629474917,28.86187220541604,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False
113,Despicable Me 3 (2017),Universal Pictures,264624300.0,770175831.0,1034800131.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",89.0,62.0,51.4,45.199999999999996,52.9,44.6,27.97937030703374,29.520612609520807,29.946704995758815,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False
116,The Incredibles (2004),Walt Disney Studios Motion Pictures,261441092.0,370165961.0,631607053.0,"['Action', 'Adventure', 'Animation', 'Family']",115.0,80.0,81.4,72.39999999999999,77.9,50.0,27.96191067362726,28.463596995867864,29.23445204060628,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False
121,The Lego Movie (2014),Warner Bros.,257760692.0,210300000.0,468060692.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",100.0,77.0,75.2,70.8,74.3,45.4,27.941457031407896,27.64787360916859,28.802120370895516,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False
127,Despicable Me (2010),Universal Pictures,251513985.0,291600000.0,543113985.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",95.0,76.0,69.19999999999999,59.199999999999996,68.1,43.6,27.906063379921783,28.11941547876375,29.016679771744883,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False
132,Moana (2016),Walt Disney Studios Motion Pictures,248757044.0,395379444.0,644136488.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",107.0,76.0,75.2,63.800000000000004,71.7,47.2,27.890162137820447,28.55866262558796,29.2627911767824,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False
134,Toy Story 2 (1999),Walt Disney Studios Motion Pictures,245852179.0,251523202.0,497375381.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",92.0,79.0,78.60000000000001,72.39999999999999,76.7,47.1,27.873215900991465,27.9061162480617,28.88975985815307,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False
136,Cars (2006),Walt Disney Studios Motion Pictures,244082982.0,217908885.0,461991867.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Sport']",117.0,72.0,70.6,54.800000000000004,65.8,41.0,27.86279646986693,27.69914978108786,28.783292213463078,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False
143,Shrek Forever After (2010),DreamWorks,238736787.0,513864080.0,752600867.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",93.0,63.0,57.199999999999996,50.2,56.8,41.6,27.830845647819757,28.936811567854075,29.487309710497623,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False
145,Brave (2012),Walt Disney Studios Motion Pictures,237283207.0,301700000.0,538983207.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",93.0,71.0,66.60000000000001,57.199999999999996,64.9,41.9,27.822034760873475,28.168539455583513,29.005665082994604,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False
165,WALL-E (2008),Walt Disney Studios Motion Pictures,223808164.0,297503726.0,521311890.0,"['Adventure', 'Animation', 'Family', 'Sci-Fi']",98.0,84.00000000000001,83.0,78.0,81.7,50.0,27.737687422524427,28.148332496252458,28.957571524170778,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False
166,Big Hero 6 (2014),Walt Disney Studios Motion Pictures,222527828.0,435341858.0,657869686.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",102.0,78.0,75.6,63.0,72.2,47.7,27.729410521277718,28.697573500625513,29.29322659536848,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False
169,Alvin and the Chipmunks: The Squeakquel (2009),Twentieth Century Fox,219614612.0,223525393.0,443140005.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Music', 'Musical']",88.0,45.0,42.6,24.6,37.4,26.5,27.71039880596762,27.735863493300428,28.72318733284193,False,False,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False
171,Beauty and the Beast (1991),Walt Disney Studios Motion Pictures,218967620.0,186043788.0,424967620.0,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",84.0,80.0,77.60000000000001,68.2,75.3,45.1,27.706142305093284,27.471066978795516,28.662777679772624,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,False,False
175,How to Train Your Dragon (2010),DreamWorks,217581231.0,277298240.0,494879471.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",98.0,81.0,79.0,68.60000000000001,76.2,46.8,27.696978871242813,28.04686321878199,28.882501955474787,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False
177,Aladdin (1992),Walt Disney Studios Motion Pictures,217350219.0,286700000.0,504050219.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",90.0,80.0,77.4,69.4,75.6,46.7,27.69544630836134,28.094966663677337,28.90899223705618,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False
178,Alvin and the Chipmunks (2007),Twentieth Century Fox,217326974.0,148025572.0,365352546.0,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Music', 'Musical']",92.0,52.0,49.00000000000001,28.599999999999998,43.2,28.0,27.695292007897468,27.141271187728336,28.444714020058374,False,False,True,True,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False
182,Madagascar 3: Europe's Most Wanted (2012),DreamWorks,216391482.0,530529792.0,746921274.0,"['Adventure', 'Animation', 'Comedy', 'Family']",95.0,68.0,57.800000000000004,49.6,58.5,42.4,27.689068469362407,28.982858527324403,29.476380949107845,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
183,Kung Fu Panda (2008),DreamWorks,215434591.0,416311606.0,631746197.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",92.0,76.0,74.4,62.4,70.9,46.5,27.682674672200775,28.633088537815436,29.234769833526954,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False
