,Title,Distributor,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Runtime (Min),Imdb Standardized,Letterboxd Standardized,Rateyourmusic Standardized,Average Rating,Worldwide Popularity,Domestic Sales (Log),International Sales (Log),World Sales (Log),Family,Action,Fantasy,Western,Crime,Comedy,Biography,Sport,Adventure,War,Romance,Animation,Mystery,Sci-Fi,Drama,Musical,Horror,Thriller,Music,History
31,Wonder Woman (2017),Warner Bros.,412815408.0,410009114.0,822824522.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'War']",141.0,74.0,67.6,56.2,65.9,47.4,28.62092157828629,28.611080738528308,29.616009549121955,False,True,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False
56,American Sniper (2014),Warner Bros.,350126372.0,197300000.0,547426372.0,"['Action', 'Biography', 'Drama', 'War']",133.0,73.0,64.4,51.0,62.8,41.0,28.383300490733113,27.55581571516037,29.028089696609882,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
179,Saving Private Ryan (1998),DreamWorks Distribution,217049603.0,265300000.0,482349603.0,"['Drama', 'War']",169.0,86.0,83.39999999999999,71.2,80.2,48.6,27.69344954289469,27.983049434665507,28.84550393810272,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
218,Pearl Harbor (2001),Walt Disney Studios Motion Pictures,198542554.0,250678391.0,449220945.0,"['Action', 'Drama', 'History', 'Romance', 'War']",183.0,62.0,53.400000000000006,32.2,49.2,32.5,27.564873015157914,27.901262397309907,28.74284995429774,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True
233,Dunkirk (2017),Warner Bros.,189740665.0,337275642.0,527016307.0,"['Action', 'Drama', 'History', 'Thriller', 'War']",106.0,78.0,75.6,68.8,74.1,46.3,27.499453667719905,28.32935288998171,28.973272361690146,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
254,Lincoln (2012),Walt Disney Studios Motion Pictures,182207973.0,93085477.0,275293450.0,"['Biography', 'Drama', 'History', 'War']",150.0,73.0,70.0,62.4,68.5,39.1,27.441010848622472,26.47205276331185,28.036395043696615,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True
340,1917 (2019),Universal Pictures,159227644.0,225691745.0,384919389.0,"['Action', 'Drama', 'War']",119.0,82.0,81.8,70.8,78.2,45.9,27.246515587439657,27.749778409948707,28.51998110291491,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
424,Platoon (1986),Orion Pictures,138530565.0,15067.0,138545632.0,"['Drama', 'War']",120.0,81.0,77.2,72.8,77.0,40.9,27.045629082730475,13.879104569147565,27.04578598604038,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
